recv_ts,cycle,rank,code,name,action,decision,nav,fair_value,bid1,ask1,spread_bps,etf_obi,buy_gap_bps,sell_gap_bps,pnl_bps,hold_sec,order_side,order_qty,order_price,order_no,filled,fill_status,before_qty,after_qty,reason
2026-07-01T14:10:30.388,13,20,475300,SOL 반도체전공정,WAIT,HOLD,30477.87,30459.583278,30420.0,30460.0,13.140604467805518,-0.6291441788743254,-0.13681145805521913,-12.995344564870658,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:30.923,13,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24435.05,24431.65431314689,24380.0,24400.0,8.200082000820007,0.17839098328799066,12.956270885781278,-21.142372303088013,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:31.454,13,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143054.38,142968.547372,142910.0,142990.0,5.596362364463099,-0.9888438807357727,-1.5005138119071728,-4.095122534025777,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:31.982,13,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10497.75,10498.16780522072,10480.0,10485.0,4.769854519437157,0.3048252290829806,12.542955556656693,-17.305691390916753,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:42.525,14,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26528.45,26514.4316097862,26480.0,26485.0,1.8880392712168415,-0.7863122767987822,11.100222784084256,-12.985988269682883,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:43.675,14,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49196.71,49171.24679627298,49175.0,49205.0,6.098800569221387,-0.5576923076923077,-6.8644189289866775,0.7632923652661282,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:44.200,14,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.0706311988,1073515.0,1073520.0,0.04657585926638364,-0.001054847475791327,-0.36264606676568556,0.31606862691329923,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:44.739,14,20,475300,SOL 반도체전공정,WAIT,HOLD,30451.14,30432.869315999997,30415.0,30455.0,13.142763265976672,-0.9416876927389963,-7.271967611798024,-5.871715813073817,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:45.284,14,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24402.01,24404.61386989779,24355.0,24370.0,6.157003591585428,0.48569549490299246,14.183330284312898,-20.32970903054742,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:45.817,14,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143119.8,143033.92811999997,142880.0,143010.0,9.094406939732064,-0.9808451816745656,1.6728981937693115,-10.761650891026916,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:46.392,14,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10501.76,10501.41308033252,10485.0,10490.0,4.767580452920143,0.18332163742690058,10.868137692722048,-15.629401688102066,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:56.949,15,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26531.36,26536.21205872845,26515.0,26520.0,1.8855472800980484,0.39907759088442757,6.109409546687391,-7.993627229653701,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:58.123,15,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49203.66,49197.6876859223,49220.0,49250.0,6.093226363359399,0.10236220472440945,-10.633083898508387,4.53523633471234,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:58.656,15,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.0429492036,1073515.0,1073520.0,0.04657585926638364,-0.001097825937171284,-0.3629039474170648,0.3163265063635799,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:59.200,15,20,475300,SOL 반도체전공정,WAIT,HOLD,30458.65,30444.21696476238,30425.0,30465.0,13.138446378715717,-0.13283884018880648,-6.826595429166039,-6.312188874696315,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:59.731,15,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24427.73,24413.073362,24380.0,24395.0,6.150691952844695,-0.9553752535496958,7.403149014466628,-13.547397949280441,,,,,,,,,,,edge_below_threshold
2026-07-01T14:11:00.263,15,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143092.94,143007.084236,142920.0,143055.0,9.44138473642801,-0.9760598503740648,-3.3505867388311343,-6.089505038525422,,,,,,,,,,,edge_below_threshold
2026-07-01T14:11:00.805,15,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10511.79,10511.520491554218,10490.0,10495.0,4.765308553728854,0.19553429027113237,15.71655743571252,-20.473243211112372,,,,,,,,,,,edge_below_threshold
2026-07-01T14:11:11.357,16,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26561.99,26560.455535338606,26525.0,26540.0,5.653443889569396,0.18639021024728566,7.701500191286182,-13.34899369155486,,,,,,,,,,,edge_below_threshold
2026-07-01T14:11:12.252,16,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49228.78,49201.74685252943,49250.0,49270.0,4.0600893219650835,-0.7122171945701358,-13.872098418607166,9.807202092884166,,,,,,,,,,,edge_below_threshold
2026-07-01T14:11:12.783,16,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073480.98676322,1073515.0,1073520.0,0.04657585926638364,-0.001185059069223373,-0.3634273663065599,0.3168499228152123,,,,,,,,,,,edge_below_threshold
2026-07-01T14:11:13.315,16,20,475300,SOL 반도체전공정,WAIT,HOLD,30498.93,30480.630642,30465.0,30520.0,18.037222267770762,-0.5887801005557025,-12.916188796222585,-5.128057284504553,,,,,,,,,,,edge_below_threshold
2026-07-01T14:11:13.859,16,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24415.95,24401.30043,24400.0,24420.0,8.193363375665712,-0.890764734109846,-7.663349768445385,-0.5329347112994517,,,,,,,,,,,edge_below_threshold
2026-07-01T14:11:14.391,16,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143194.0,143108.08359999998,142955.0,143085.0,9.0896378128933,-0.9839561468012568,1.6130185954068332,-10.697061699733613,,,,,,,,,,,edge_below_threshold
2026-07-01T14:11:14.920,16,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10517.06,10517.959033168187,10500.0,10505.0,4.76077124494168,0.38051075634365905,12.320862942440174,-17.07463692485691,,,,,,,,,,,edge_below_threshold
