recv_ts,rank,code,name,holdings,nav_source,priced_components,nav,fair_value,ask1,bid1,micro,spread_bps,etf_obi,current_basis_bps,expected_basis_bps,buy_gap_bps,sell_gap_bps,decision,position_action,entry_price,exit_price,pnl_bps,hold_sec,reason,estimate_method
2026-06-24T13:41:22.920,50,462330,KODEX 2차전지산업레버리지,26,LOCAL_COMPONENT_MICRO_L1,26,1249.6065401304218,1249.2331534095865,1258.0,1256.0,1256.995468110976,15.910898965791567,0.297539230964375,59.16630260919232,-2.9880343039512196,-70.17782522410442,54.16800356238089,HOLD,WAIT,,,,,spread_too_wide,"rounded_to_common_creation_unit_calibration_failed: raw_unit must be positive, got -8417.074255638132"
2026-06-24T13:41:55.777,10,0167A0,SOL AI반도체TOP2플러스,10,LOCAL_COMPONENT_MICRO_L1,10,25324.646530882103,25314.859434396927,25315.0,25300.0,25313.814923941347,5.927096710461326,-0.34775395610005105,-6.7706891234170685,-3.864652749738704,-0.05552691431574968,-5.869846694363482,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:41:58.183,13,396500,TIGER 반도체TOP10,10,LOCAL_COMPONENT_MICRO_L1,10,49226.829980018716,49198.8875849004,49365.0,49350.0,49350.08610792193,3.03905181583346,-0.7940896091515729,26.54447179197264,-5.676253199659476,-33.76344938957075,30.71459996708835,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:42:01.978,14,395160,KODEX AI반도체TOP2플러스,15,LOCAL_COMPONENT_MICRO_L1,15,55377.17960706373,55362.49089105851,55430.0,55420.0,55420.09900990099,1.8042399639152007,-0.35186890075492544,8.635396976803033,-2.652485393704113,-12.194015813763901,10.387738704650829,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:42:11.781,17,139260,TIGER 200 IT,16,LOCAL_COMPONENT_MICRO_L1,16,185622.43985604923,185540.22392952477,185725.0,185640.0,185723.22699386504,4.577706569008926,-0.5093149899684724,3.235607936052907,-4.429201910513512,-9.958814674354064,5.377597825532851,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:42:14.556,22,488080,TIGER 반도체TOP10레버리지,11,LOCAL_COMPONENT_MICRO_L1,11,78853.17891113422,78870.87197908331,78120.0,78110.0,78118.33333333333,1.2801638609742048,0.4379746835443038,-93.61435028080903,2.243798942973561,95.20269780742953,-96.47059300740297,BUY,ENTER_BUY,78120.0,,,,paper_entry_on_buy_signal,unrounded_raw_creation_unit_regression
2026-06-24T13:42:19.725,26,469150,ACE AI반도체TOP3+,20,LOCAL_COMPONENT_MICRO_L1,20,74904.87799173215,74859.9350649371,74965.0,74860.0,74869.2812307059,14.016352411146338,-0.7271695477562423,1.0175583316068666,-6.0,-14.034868581138516,0.0086742077506748,HOLD,WAIT,,,,,spread_too_wide,rounded_to_common_creation_unit_regression
2026-06-24T13:42:22.246,31,292150,TIGER 코리아TOP10,10,LOCAL_COMPONENT_MICRO_L1,10,46905.46949450065,46878.62894559754,46860.0,46825.0,46859.24615384615,7.4718471473555,-0.5801183431952662,-13.424765849115172,-5.722264203378248,3.973867413904288,-11.439956074606664,HOLD,HOLD_POSITION,46690.0,,28.914114371385736,119.54699999996228,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:42:25.219,32,487240,KODEX AI전력핵심설비,12,LOCAL_COMPONENT_MICRO_L1,12,40658.37569386447,40669.18899561996,40665.0,40625.0,40664.81115222662,9.841308894082912,0.9353239193704862,-3.28977575621431,2.659550847998043,1.030017003882341,-10.865472538613552,HOLD,HOLD_POSITION,40450.0,,43.26328800988875,234.35899999999674,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:42:32.043,35,243880,TIGER 200IT레버리지,17,LOCAL_COMPONENT_MICRO_L1,17,773554.664276783,773090.5314782169,775000.0,771080.0,771780.9271523178,50.70888957880575,-0.3896778662971943,-6.653237328278264,-6.0,-24.69915804209964,-26.006417054061693,HOLD,WAIT,,,,,spread_too_wide,unrounded_raw_creation_unit_regression
2026-06-24T13:42:50.072,41,367760,RISE 네트워크인프라,23,LOCAL_COMPONENT_MICRO_L1,23,78771.25924191052,78766.22162630201,78705.0,78595.0,78645.25516403402,13.986013986013987,0.5927132701421801,-15.393843271963839,-0.6395245749511149,7.772573704559376,-21.737950960038678,HOLD,WAIT,,,,,spread_too_wide,unrounded_raw_creation_unit_regression
