THEME_NAME,THEME_ID,n_stocks,n_up,agreement_rate,holding_rtn_mean,rebal_date,holding_date,ga_weight,agreement_bin,agreement_rate_pct,holding_rtn_pct
고체산화물 연료전지(SOFC),559,11,9,0.8181818181818182,-0.0186646684285914,20251212,20251215,0.0001,70~100%,81.81818181818183,-1.86646684285914
국내 상장 중국기업,228,11,7,0.6363636363636364,0.015680060512281012,20251212,20251215,0.0002,50~70%,63.63636363636363,1.568006051228101
모더나(MODERNA),467,6,3,0.5,0.01975383153266576,20251212,20251215,0.0002,50~70%,50.0,1.9753831532665762
시멘트/레미콘,44,15,13,0.8666666666666667,0.013876382544670215,20251212,20251215,0.292,70~100%,86.66666666666667,1.3876382544670214
우주항공산업(누리호/인공위성 등),200,31,28,0.9032258064516129,0.014624433352571966,20251212,20251215,0.3949,70~100%,90.32258064516128,1.4624433352571966
전선,178,8,8,1.0,-0.012192714218483003,20251212,20251215,0.3068,70~100%,100.0,-1.2192714218483003
종합 물류,141,15,11,0.7333333333333333,-0.0028041447339167097,20251212,20251215,0.0001,70~100%,73.33333333333333,-0.28041447339167097
철강 주요종목,62,11,11,1.0,0.010632611518790086,20251212,20251215,0.0,70~100%,100.0,1.0632611518790085
테마파크,181,6,5,0.8333333333333334,-0.009689705851943156,20251212,20251215,0.0001,70~100%,83.33333333333334,-0.9689705851943157
해저터널(지하화/지하도로 등),213,9,9,1.0,-0.0064856155256178705,20251212,20251215,0.0047,70~100%,100.0,-0.648561552561787
호텔/리조트,407,14,13,0.9285714285714286,0.0049003014627208175,20251212,20251215,0.0001,70~100%,92.85714285714286,0.49003014627208175
2차전지(나트륨이온),579,9,4,0.4444444444444444,-0.05861156401809101,20251215,20251216,0.1166,30~50%,44.44444444444444,-5.861156401809101
3D 프린터,326,11,8,0.7272727272727273,-0.037603313044498245,20251215,20251216,0.0687,70~100%,72.72727272727273,-3.7603313044498243
DMZ 평화공원,398,18,11,0.6111111111111112,-0.020088008201411267,20251215,20251216,0.0008,50~70%,61.111111111111114,-2.0088008201411265
골판지 제조,170,10,6,0.6,-0.006475485886462962,20251215,20251216,0.1598,50~70%,60.0,-0.6475485886462962
광고,59,25,18,0.72,-0.016200933946369133,20251215,20251216,0.0,70~100%,72.0,-1.6200933946369134
국내 상장 중국기업,228,11,2,0.18181818181818182,-0.011056110437173673,20251215,20251216,0.0527,0~30%,18.181818181818183,-1.1056110437173674
마리화나(대마),408,10,8,0.8,-0.030305049956260256,20251215,20251216,0.0,70~100%,80.0,-3.0305049956260257
마켓컬리(kurly),481,10,6,0.6,-0.013591181090782067,20251215,20251216,0.0,50~70%,60.0,-1.3591181090782067
모더나(MODERNA),467,6,4,0.6666666666666666,-0.004372975879468277,20251215,20251216,0.0682,50~70%,66.66666666666666,-0.4372975879468277
사료,105,18,9,0.5,-0.00871390218350512,20251215,20251216,0.0001,50~70%,50.0,-0.871390218350512
수산,90,10,8,0.8,-0.005861015252013446,20251215,20251216,0.0007,70~100%,80.0,-0.5861015252013446
야놀자(Yanolja),483,5,3,0.6,-0.009519944508770074,20251215,20251216,0.2344,50~70%,60.0,-0.9519944508770074
우주항공산업(누리호/인공위성 등),200,31,20,0.6451612903225806,-0.0353005546904924,20251215,20251216,0.0571,50~70%,64.51612903225806,-3.53005546904924
정유,185,3,2,0.6666666666666666,-0.025052051254920937,20251215,20251216,0.2294,50~70%,66.66666666666666,-2.5052051254920937
철강 주요종목,62,11,5,0.45454545454545453,-0.025738027964572665,20251215,20251216,0.0001,30~50%,45.45454545454545,-2.5738027964572665
출산장려정책,139,21,14,0.6666666666666666,-0.010276541641106257,20251215,20251216,0.0,50~70%,66.66666666666666,-1.0276541641106256
카메라모듈/부품,41,27,11,0.4074074074074074,-0.007884162695597429,20251215,20251216,0.0,30~50%,40.74074074074074,-0.7884162695597429
캐릭터상품,45,9,2,0.2222222222222222,-0.022369088780783267,20251215,20251216,0.0,0~30%,22.22222222222222,-2.2369088780783266
탈 플라스틱(친환경/생분해성 등),581,8,3,0.375,-0.02307716674134036,20251215,20251216,0.0002,30~50%,37.5,-2.307716674134036
퓨리오사AI,576,11,4,0.36363636363636365,-0.03482318213721336,20251215,20251216,0.0111,30~50%,36.36363636363637,-3.482318213721336
황사/미세먼지,19,25,15,0.6,-0.009743736498502308,20251215,20251216,0.0,50~70%,60.0,-0.9743736498502308
2025 하반기 신규상장,583,56,16,0.2857142857142857,-0.01510693177582891,20251216,20251217,0.0002,0~30%,28.57142857142857,-1.5106931775828911
3D 프린터,326,11,4,0.36363636363636365,-0.03369021817785556,20251216,20251217,0.0001,30~50%,36.36363636363637,-3.3690218177855558
mRNA(메신저 리보핵산),493,15,1,0.06666666666666667,-0.01252109733933476,20251216,20251217,0.0,0~30%,6.666666666666667,-1.252109733933476
건강기능식품,487,44,19,0.4318181818181818,0.007658778941250202,20251216,20251217,0.0,30~50%,43.18181818181818,0.7658778941250202
공기청정기,112,12,6,0.5,0.01034954851767489,20251216,20251217,0.0007,50~70%,50.0,1.034954851767489
국내 상장 중국기업,228,11,1,0.09090909090909091,-0.007394836895590385,20251216,20251217,0.0,0~30%,9.090909090909092,-0.7394836895590385
낙태/피임,563,4,2,0.5,0.06975660699093766,20251216,20251217,0.0452,50~70%,50.0,6.975660699093766
수산,90,10,2,0.2,0.01381227329961644,20251216,20251217,0.137,0~30%,20.0,1.381227329961644
야놀자(Yanolja),483,5,0,0.0,0.024345286659976106,20251216,20251217,0.0006,0~30%,0.0,2.4345286659976106
엔터테인먼트,128,30,11,0.36666666666666664,-0.0008899982957724206,20251216,20251217,0.0,30~50%,36.666666666666664,-0.08899982957724206
음식료업종,113,65,19,0.2923076923076923,0.006392497714159903,20251216,20251217,0.0,0~30%,29.230769230769234,0.6392497714159903
자원개발,79,14,4,0.2857142857142857,0.015838489842467694,20251216,20251217,0.1499,0~30%,28.57142857142857,1.5838489842467693
전기차 화재 방지(배터리 열폭주 등),564,29,5,0.1724137931034483,-0.00028576197979431777,20251216,20251217,0.0001,0~30%,17.24137931034483,-0.028576197979431776
줄기세포,66,18,6,0.3333333333333333,-0.0050613021641498996,20251216,20251217,0.0001,30~50%,33.33333333333333,-0.50613021641499
카메라모듈/부품,41,27,8,0.2962962962962963,0.005845823232438339,20251216,20251217,0.0,0~30%,29.629629629629626,0.584582323243834
탈모 치료,506,20,12,0.6,0.06180916465468293,20251216,20251217,0.6632,50~70%,60.0,6.180916465468293
터치패널(스마트폰/태블릿PC 등),209,8,2,0.25,0.003516452404076803,20251216,20251217,0.0,0~30%,25.0,0.3516452404076803
통신,126,3,2,0.6666666666666666,0.00012477800418183213,20251216,20251217,0.002,50~70%,66.66666666666666,0.012477800418183213
패션/의류,32,59,17,0.288135593220339,0.019897957510631382,20251216,20251217,0.0,0~30%,28.8135593220339,1.989795751063138
편의점,384,5,3,0.6,-0.001349263454817806,20251216,20251217,0.0008,50~70%,60.0,-0.13492634548178062
화장품,110,92,40,0.43478260869565216,0.0047679287473657685,20251216,20251217,0.0001,30~50%,43.47826086956522,0.47679287473657683
4대강 복원,374,8,4,0.5,-0.00844752353131449,20251217,20251218,0.0017,50~70%,50.0,-0.8447523531314491
LPG(액화석유가스),177,9,8,0.8888888888888888,-0.0029236377457212167,20251217,20251218,0.1881,70~100%,88.88888888888889,-0.29236377457212165
건강기능식품,487,44,22,0.5,-0.002653453655239908,20251217,20251218,0.0001,50~70%,50.0,-0.2653453655239908
낙태/피임,563,4,2,0.5,-0.06926204715297285,20251217,20251218,0.1311,50~70%,50.0,-6.926204715297285
렌터카,525,4,3,0.75,-0.004088551629085502,20251217,20251218,0.0003,70~100%,75.0,-0.4088551629085502
마이코플라스마 폐렴,546,12,9,0.75,-0.009345410670901519,20251217,20251218,0.001,70~100%,75.0,-0.9345410670901518
백화점,318,6,5,0.8333333333333334,0.0010333642286208071,20251217,20251218,0.0,70~100%,83.33333333333334,0.10333642286208071
보톡스(보툴리눔톡신),397,13,7,0.5384615384615384,-0.011952572949254158,20251217,20251218,0.0,50~70%,53.84615384615385,-1.1952572949254159
생명보험,283,5,5,1.0,-0.013818753298833909,20251217,20251218,0.0002,70~100%,100.0,-1.3818753298833908
손해보험,164,8,8,1.0,-0.01459559848110463,20251217,20251218,0.0003,70~100%,100.0,-1.459559848110463
수산,90,10,7,0.7,-0.009225359181028158,20251217,20251218,0.0003,70~100%,70.0,-0.9225359181028159
야놀자(Yanolja),483,5,3,0.6,0.028270642909046507,20251217,20251218,0.0001,50~70%,60.0,2.8270642909046506
엔터테인먼트,128,30,15,0.5,-0.003634739839973755,20251217,20251218,0.0,50~70%,50.0,-0.3634739839973755
음식료업종,113,65,36,0.5538461538461539,-0.0011010418332335233,20251217,20251218,0.0001,50~70%,55.38461538461539,-0.11010418332335233
제지,63,14,9,0.6428571428571429,-0.006329881339716887,20251217,20251218,0.0001,50~70%,64.28571428571429,-0.6329881339716887
출산장려정책,139,21,17,0.8095238095238095,-0.009165289539731492,20251217,20251218,0.0001,70~100%,80.95238095238095,-0.9165289539731493
탈모 치료,506,20,12,0.6,-0.04356021066748532,20251217,20251218,0.6756,50~70%,60.0,-4.356021066748532
통신,126,3,1,0.3333333333333333,-0.011222955833175896,20251217,20251218,0.0004,30~50%,33.33333333333333,-1.1222955833175896
패션/의류,32,59,33,0.559322033898305,-0.011607631862326431,20251217,20251218,0.0,50~70%,55.932203389830505,-1.160763186232643
편의점,384,5,2,0.4,-0.012837352838748784,20251217,20251218,0.0001,30~50%,40.0,-1.2837352838748783
화학섬유,319,6,6,1.0,-0.005751781231198442,20251217,20251218,0.0003,70~100%,100.0,-0.5751781231198443
4대강 복원,374,8,4,0.5,0.008875235345962726,20251218,20251219,0.0004,50~70%,50.0,0.8875235345962726
LPG(액화석유가스),177,9,3,0.3333333333333333,-0.011186172344492854,20251218,20251219,0.0227,30~50%,33.33333333333333,-1.1186172344492853
건설 대표주,154,6,0,0.0,0.007812621760515467,20251218,20251219,0.0002,0~30%,0.0,0.7812621760515467
건설 중소형,322,26,4,0.15384615384615385,-0.0011985466884568952,20251218,20251219,0.0619,0~30%,15.384615384615385,-0.11985466884568952
마리화나(대마),408,10,3,0.3,-0.02114848370868182,20251218,20251219,0.0001,30~50%,30.0,-2.1148483708681822
마켓컬리(kurly),481,10,4,0.4,0.030311593471148403,20251218,20251219,0.0966,30~50%,40.0,3.03115934711484
반도체 대표주(생산),155,3,1,0.3333333333333333,-0.00027575180036998326,20251218,20251219,0.4953,30~50%,33.33333333333333,-0.027575180036998326
반도체 재료/부품,14,62,7,0.11290322580645161,0.008862568357285197,20251218,20251219,0.0001,0~30%,11.29032258064516,0.8862568357285198
백화점,318,6,2,0.3333333333333333,-0.010337026653717643,20251218,20251219,0.0005,30~50%,33.33333333333333,-1.0337026653717643
야놀자(Yanolja),483,5,1,0.2,0.026316554599936294,20251218,20251219,0.2349,0~30%,20.0,2.6316554599936293
우주항공산업(누리호/인공위성 등),200,33,18,0.5454545454545454,0.030753169598713912,20251218,20251219,0.0004,50~70%,54.54545454545454,3.075316959871391
은행,165,10,1,0.1,0.013063315864362601,20251218,20251219,0.0,0~30%,10.0,1.3063315864362601
출산장려정책,139,21,4,0.19047619047619047,-0.005668707005863479,20251218,20251219,0.0002,0~30%,19.047619047619047,-0.5668707005863479
탈모 치료,506,20,3,0.15,0.0010094159221247733,20251218,20251219,0.0864,0~30%,15.0,0.10094159221247732
화학섬유,319,6,2,0.3333333333333333,-0.00316866321101957,20251218,20251219,0.0001,30~50%,33.33333333333333,-0.316866321101957
3D 프린터,326,11,7,0.6363636363636364,0.03466611634013883,20251219,20251222,0.0,50~70%,63.63636363636363,3.466611634013883
SI(시스템통합),17,30,24,0.8,0.016759902353007873,20251219,20251222,0.0,70~100%,80.0,1.6759902353007874
공기청정기,112,12,4,0.3333333333333333,0.013274355487193551,20251219,20251222,0.0921,30~50%,33.33333333333333,1.3274355487193552
광고,59,25,19,0.76,0.0006327749831732011,20251219,20251222,0.0,70~100%,76.0,0.0632774983173201
마켓컬리(kurly),481,10,8,0.8,0.03628403437824497,20251219,20251222,0.0,70~100%,80.0,3.628403437824497
슈퍼박테리아,294,9,5,0.5555555555555556,-0.014919396809255457,20251219,20251222,0.0,50~70%,55.55555555555556,-1.4919396809255459
스테이블코인,582,22,19,0.8636363636363636,0.04433439217299128,20251219,20251222,0.0,70~100%,86.36363636363636,4.433439217299128
우주항공산업(누리호/인공위성 등),200,33,26,0.7878787878787878,0.09668526442260814,20251219,20251222,0.0068,70~100%,78.78787878787878,9.668526442260813
웹툰,488,15,10,0.6666666666666666,0.009933850244536642,20251219,20251222,0.0,50~70%,66.66666666666666,0.9933850244536642
유전자 치료제/분석,376,41,32,0.7804878048780488,0.009571663550833552,20251219,20251222,0.0,70~100%,78.04878048780488,0.9571663550833551
전기자전거,268,5,5,1.0,0.0074729376501105225,20251219,20251222,0.0,70~100%,100.0,0.7472937650110523
창투사,119,20,19,0.95,0.026831287637876976,20251219,20251222,0.901,70~100%,95.0,2.6831287637876975
철강 중소형,72,37,24,0.6486486486486487,0.001961427163922924,20251219,20251222,0.0,50~70%,64.86486486486487,0.1961427163922924
카지노,47,6,6,1.0,0.008433878603463082,20251219,20251222,0.0,70~100%,100.0,0.8433878603463082
3D 낸드(NAND),370,18,17,0.9444444444444444,0.003870087298948067,20251222,20251223,0.4587,70~100%,94.44444444444444,0.3870087298948067
4차산업 수혜주,375,41,30,0.7317073170731707,-0.01087698525726854,20251222,20251223,0.0,70~100%,73.17073170731707,-1.087698525726854
CXL(컴퓨트익스프레스링크),547,13,9,0.6923076923076923,-0.0101630418836758,20251222,20251223,0.0,50~70%,69.23076923076923,-1.01630418836758
그래핀,415,13,9,0.6923076923076923,-0.0168410138826582,20251222,20251223,0.0001,50~70%,69.23076923076923,-1.6841013882658198
