rebal_date,n_themes_selected,n_stocks_selected,filter_type,port_return,kospi_return,excess_return
20240709,2,1,-1%이하,0.03172737955346651,0.0002127377606035985,0.03151464179286291
20240710,2,1,-1%이하,0.0035335689045936395,0.008145077214355645,-0.004611508309762005
20240711,2,1,-1%이하,-0.04710144927536232,-0.011880263544710945,-0.035221185730651375
20240712,2,1,-1%이하,0.003259452411994785,0.0013720686034301988,0.0018873838085645862
20240715,2,16,전체,-0.004880842324387203,0.0018071109992590095,-0.006687953323646212
20240716,2,12,전체,-0.006078185064539926,-0.007955088639924113,0.0018769035753841866
20240717,2,16,전체,0.020150015534083267,-0.0066612972999589015,0.02681131283404217
20240718,2,15,전체,-0.005305497758810538,-0.010228902225290715,0.004923404466480177
20240719,2,35,전체,-0.02718608378455086,-0.01142924599171502,-0.01575683779283584
20240722,2,7,-3%이하,0.0012272888200437083,0.0039008362553418774,-0.002673547435298169
20240723,2,1,-1%이하,-0.036065573770491806,-0.005615851262845584,-0.030449722507646222
20240724,2,13,전체,-0.027746738302008484,-0.017421185989103583,-0.010325552312904902
20240725,2,4,-3%이하,-0.031301516024988145,0.007839448102853641,-0.039140964127841786
20240726,2,16,전체,0.005709343057522397,0.012310113840184433,-0.0066007707826620365
20240729,2,28,전체,-0.0040202227413990875,-0.009885989304039389,0.005865766562640301
20240730,2,2,-1%이하,-0.0088827400731824,0.011869154441437546,-0.020751894514619944
20240731,2,11,전체,0.029339837897444463,0.002522837271582201,0.026817000625862262
20240801,2,13,전체,-0.04338991507815074,-0.036537686126551616,-0.006852228951599121
20240802,2,12,-3%이하,-0.1354595292957994,-0.08767688392827111,-0.0477826453675283
20240805,2,31,-3%이하,0.06961518505635662,0.03301181626425831,0.036603368792098315
20240806,2,18,전체,0.012376770590158912,0.018341494359970456,-0.005964723769811544
20240807,2,21,전체,0.03874790648832431,-0.004547560553026853,0.04329546704135116
20240808,2,16,전체,0.00435706060533135,0.01239864983787875,-0.0080415892325474
20240809,2,16,전체,0.007405479068444736,0.011539813709468882,-0.004134334641024146
20240812,2,15,전체,-0.024726931139854542,0.0012221670549592556,-0.025949098194813797
20240813,2,1,-3%이하,0.0330188679245283,0.008773602899103672,0.02424526502542463
20240814,2,12,전체,0.031398031660351954,0.019939497069389356,0.011458534590962598
20240816,2,6,전체,0.030376841841429438,-0.008479069267359418,0.03885591110878886
20240819,2,25,전체,-0.02901321937481309,0.008327225953125295,-0.037340445327938385
20240820,2,14,전체,-0.00953846244916166,0.0016687495132814423,-0.011207211962443103
20240821,2,15,전체,-0.010813055195547438,0.0024212089014596927,-0.01323426409700713
20240822,2,10,전체,0.017047050030101006,-0.0022085409226383357,0.019255590952739342
20240823,2,1,-1%이하,-0.01818181818181818,-0.001362110382760351,-0.01681970779905783
20240826,2,1,-1%이하,0.0064516129032258064,-0.0032468374839234038,0.00969845038714921
20240827,2,2,-1%이하,0.02533421431941219,0.00021567351492057796,0.02511854080449161
20240828,2,1,-1%이하,0.010273972602739725,-0.01024228296955565,0.020516255572295375
20240829,2,1,-3%이하,0.023408239700374533,0.004518683233919685,0.01888955646645485
20240830,2,1,-3%이하,-0.005494505494505495,0.002501579846764246,-0.007996085341269742
20240902,2,1,-3%이하,-0.015739769150052464,-0.006105930622901878,-0.009633838527150586
20240903,2,23,전체,-0.015858156374377562,-0.031460277787159874,0.015602121412782312
20240904,2,10,-3%이하,0.0031227687889823588,-0.002053626782393181,0.005176395571375539
20240905,2,8,전체,-0.0405983529685175,-0.012121918074160298,-0.0284764348943572
20240906,2,1,-3%이하,0.023696682464454975,-0.0032818714921315495,0.026978553956586524
20240909,2,19,전체,-0.009808676726937799,-0.004929158139223122,-0.004879518587714677
20240910,2,1,-3%이하,0.06986899563318777,-0.003986637235825818,0.07385563286901359
20240911,2,1,-3%이하,0.061052631578947365,0.023363054385148407,0.03768957719379896
20240912,2,1,-3%이하,0.013806706114398421,0.001290779094043959,0.012515927020354463
20240913,2,14,전체,0.009840945084110706,0.0020928706497218563,0.00774807443438885
20240919,2,11,전체,0.010992038418582964,0.004870582765033937,0.006121455653549027
20240920,2,10,전체,-0.007027147142048265,0.003331572432780705,-0.01035871957482897
20240923,2,1,-1%이하,0.06771397616468039,0.0114027232793108,0.05631125288536959
20240924,2,8,전체,-0.0031337115769831197,-0.013436284046692504,0.010302572469709384
20240925,2,1,-1%이하,0.07058823529411765,0.028983330252049022,0.041604905042068624
20240926,2,30,전체,0.022631947092616133,-0.008156252690365573,0.030788199782981706
20240927,2,2,-3%이하,-0.13715196225113493,-0.021326298787069153,-0.11582566346406578
20240930,2,8,-3%이하,-0.03995200961673067,-0.012177675290270584,-0.027774334326460086
20241002,2,5,-3%이하,0.009526803277951185,0.003130745718646688,0.006396057559304497
20241004,2,1,-1%이하,0.0392,0.015826688614668516,0.023373311385331483
20241007,2,48,전체,-0.0020536598376129883,-0.006137037519441613,0.004083377681828624
20241008,2,2,-1%이하,0.0078067674029289385,0.0018501672859587703,0.005956600116970168
20241010,2,13,전체,0.01214300846100653,-0.0008656642915403356,0.013008672752546866
20241011,2,9,전체,-0.005812745418169742,0.010158226507657186,-0.01597097192582693
20241014,2,14,전체,0.004559049545237179,0.003872999172794378,0.0006860503724428011
20241015,2,12,전체,0.010868200654868826,-0.008767965976190784,0.01963616663105961
20241016,2,1,-1%이하,-0.04316546762589928,-0.00040607425795669005,-0.04275939336794259
20241017,2,13,전체,-0.03221482858598484,-0.005932625608400688,-0.02628220297758415
20241018,2,3,-3%이하,0.0031535171904529345,0.004279402579978608,-0.001125885389525674
20241021,2,1,-1%이하,0.0,-0.013136679821261432,0.013136679821261432
20241022,2,8,전체,-0.00486074540360247,0.011249854125335634,-0.016110599528938105
20241023,2,29,전체,-0.01882154338102652,-0.0071510451527529995,-0.01167049822827352
20241024,2,6,-3%이하,-0.019586545772411663,0.0008678705787998897,-0.020454416351211552
20241025,2,13,전체,-0.013105925777562812,0.011288018674006084,-0.024393944451568894
20241028,2,18,전체,-0.008963215438688223,0.002055557469482494,-0.011018772908170717
20241029,2,1,-1%이하,-0.013677811550151976,-0.009171823668729595,-0.004505987881422381
20241030,2,2,-1%이하,0.0017708242960563733,-0.014511583435821707,0.01628240773187808
20241031,2,13,전체,-0.015610022212096923,-0.005394832071670241,-0.010215190140426681
20241101,2,11,-3%이하,0.02332469413184686,0.018333359555688267,0.004991334576158593
20241104,2,16,전체,-0.005986743504978902,-0.004669810774168726,-0.001316932730810176
20241105,2,17,전체,-0.018846890912231604,-0.005188444941169101,-0.013658445971062503
20241106,2,14,전체,0.04744225296672789,0.00043690096781356935,0.04700535199891432
20241107,2,35,전체,0.0035213935577219396,-0.0013569208813747347,0.004878314439096674
20241108,2,2,-1%이하,-0.009974796276612876,-0.011514358784139977,0.0015395625075271015
20241111,2,9,전체,-0.014592742946518748,-0.019390439474494925,0.004797696527976177
20241112,2,5,-3%이하,-0.04723216120627744,-0.026379920807872548,-0.020852240398404893
20241113,2,8,-3%이하,0.019046853730671928,0.0007364257699373766,0.01831042796073455
20241114,2,12,전체,-0.00846712282173065,-0.0008268357821452632,-0.007640287039585386
20241115,2,1,-1%이하,-0.006756756756756757,0.021602409738255446,-0.028359166495012203
20241118,2,10,전체,0.00635116484144368,0.0011664310853882753,0.0051847337560554044
