Strategy,Date,Country,Weight(%)
GDP (Prop),2001-09-28,Norway,0.559
GDP (Prop),2001-09-28,Ireland,0.3519
GDP (Prop),2001-09-28,New Zealand,0.171
GDP (Prop),2001-09-28,Austria,0.6334
GDP (Prop),2001-09-28,Portugal,0.3913
GDP (Prop),2001-09-28,China,4.427
GDP (Prop),2001-09-28,India,1.422
GDP (Prop),2001-09-28,Taiwan,0.9289
GDP (Prop),2001-09-28,Korea,1.8563
GDP (Prop),2001-09-28,Brazil,1.6943
GDP (Prop),2001-09-28,South Africa,0.4528
GDP (Prop),2001-09-28,Mexico,2.6247
GDP (Prop),2001-09-28,Indonesia,0.5667
GDP (Prop),2001-09-28,Malaysia,0.3188
GDP (Prop),2001-09-28,Thailand,0.3864
GDP (Prop),2001-09-28,Poland,0.5941
GDP (Prop),2001-09-28,Chile,0.2184
GDP (Prop),2001-09-28,Turkey,0.6089
GDP (Prop),2001-09-28,Greece,0.4376
GDP (Prop),2001-09-28,Philippines,0.2469
GDP (Prop),2001-09-28,Hungary,0.1816
GDP (Prop),2001-09-28,Egypt,0.313
GDP (Prop),2001-09-28,Czech Republic,0.2216
GDP (Prop),2001-09-28,Colombia,0.3029
GDP (Prop),2001-09-28,Peru,0.1648
GDP (Prop),2001-12-31,USA,33.9269
GDP (Prop),2001-12-31,Japan,13.694
GDP (Prop),2001-12-31,UK,5.3262
GDP (Prop),2001-12-31,France,4.3984
GDP (Prop),2001-12-31,Canada,2.2886
GDP (Prop),2001-12-31,Switzerland,0.947
GDP (Prop),2001-12-31,Germany,6.3101
GDP (Prop),2001-12-31,Australia,1.2182
GDP (Prop),2001-12-31,Netherlands,1.3963
GDP (Prop),2001-12-31,Sweden,0.8066
GDP (Prop),2001-12-31,Denmark,0.5345
GDP (Prop),2001-12-31,Spain,2.0524
GDP (Prop),2001-12-31,Italy,4.0571
GDP (Prop),2001-12-31,Hong Kong,0.5597
GDP (Prop),2001-12-31,Singapore,0.2715
GDP (Prop),2001-12-31,Belgium,0.7586
GDP (Prop),2001-12-31,Finland,0.4132
GDP (Prop),2001-12-31,Israel,0.3979
GDP (Prop),2001-12-31,Norway,0.547
GDP (Prop),2001-12-31,Ireland,0.3521
GDP (Prop),2001-12-31,New Zealand,0.1718
GDP (Prop),2001-12-31,Austria,0.6295
GDP (Prop),2001-12-31,Portugal,0.3981
GDP (Prop),2001-12-31,China,4.8781
GDP (Prop),2001-12-31,India,1.6333
GDP (Prop),2001-12-31,Taiwan,0.9464
GDP (Prop),2001-12-31,Korea,1.829
GDP (Prop),2001-12-31,Brazil,1.7253
GDP (Prop),2001-12-31,South Africa,0.379
GDP (Prop),2001-12-31,Mexico,2.5784
GDP (Prop),2001-12-31,Indonesia,0.5153
GDP (Prop),2001-12-31,Malaysia,0.312
GDP (Prop),2001-12-31,Thailand,0.3864
GDP (Prop),2001-12-31,Poland,0.6713
GDP (Prop),2001-12-31,Chile,0.2139
GDP (Prop),2001-12-31,Turkey,0.587
GDP (Prop),2001-12-31,Greece,0.4529
GDP (Prop),2001-12-31,Philippines,0.2731
GDP (Prop),2001-12-31,Hungary,0.1878
GDP (Prop),2001-12-31,Egypt,0.2754
GDP (Prop),2001-12-31,Czech Republic,0.2295
GDP (Prop),2001-12-31,Colombia,0.301
GDP (Prop),2001-12-31,Peru,0.1691
GDP (Prop),2002-03-28,USA,35.0015
GDP (Prop),2002-03-28,Japan,13.0906
GDP (Prop),2002-03-28,UK,5.4404
GDP (Prop),2002-03-28,France,4.4428
GDP (Prop),2002-03-28,Canada,2.3593
GDP (Prop),2002-03-28,Switzerland,0.9428
GDP (Prop),2002-03-28,Germany,6.2832
GDP (Prop),2002-03-28,Australia,1.2867
GDP (Prop),2002-03-28,Netherlands,1.4118
GDP (Prop),2002-03-28,Sweden,0.7716
GDP (Prop),2002-03-28,Denmark,0.5342
GDP (Prop),2002-03-28,Spain,2.0811
GDP (Prop),2002-03-28,Italy,3.5834
GDP (Prop),2002-03-28,Hong Kong,0.5132
GDP (Prop),2002-03-28,Singapore,0.2902
GDP (Prop),2002-03-28,Belgium,0.766
GDP (Prop),2002-03-28,Finland,0.418
GDP (Prop),2002-03-28,Israel,0.3882
GDP (Prop),2002-03-28,Norway,0.5537
GDP (Prop),2002-03-28,Ireland,0.3759
GDP (Prop),2002-03-28,New Zealand,0.1821
GDP (Prop),2002-03-28,Austria,0.633
GDP (Prop),2002-03-28,Portugal,0.4023
GDP (Prop),2002-03-28,China,4.1247
GDP (Prop),2002-03-28,India,1.6387
GDP (Prop),2002-03-28,Taiwan,0.9687
GDP (Prop),2002-03-28,Korea,1.9367
GDP (Prop),2002-03-28,Brazil,1.8664
GDP (Prop),2002-03-28,South Africa,0.3637
GDP (Prop),2002-03-28,Mexico,2.657
GDP (Prop),2002-03-28,Indonesia,0.5573
GDP (Prop),2002-03-28,Malaysia,0.3109
GDP (Prop),2002-03-28,Thailand,0.414
GDP (Prop),2002-03-28,Poland,0.59
GDP (Prop),2002-03-28,Chile,0.2241
GDP (Prop),2002-03-28,Turkey,0.759
GDP (Prop),2002-03-28,Greece,0.419
GDP (Prop),2002-03-28,Philippines,0.255
GDP (Prop),2002-03-28,Hungary,0.1839
GDP (Prop),2002-03-28,Egypt,0.2618
GDP (Prop),2002-03-28,Czech Republic,0.2391
GDP (Prop),2002-03-28,Colombia,0.3125
GDP (Prop),2002-03-28,Peru,0.1657
GDP (Prop),2002-06-28,USA,34.0127
GDP (Prop),2002-06-28,Japan,13.1034
GDP (Prop),2002-06-28,UK,5.4235
GDP (Prop),2002-06-28,France,4.5125
GDP (Prop),2002-06-28,Canada,2.3815
GDP (Prop),2002-06-28,Switzerland,0.9598
GDP (Prop),2002-06-28,Germany,6.3469
GDP (Prop),2002-06-28,Australia,1.3381
GDP (Prop),2002-06-28,Netherlands,1.4369
GDP (Prop),2002-06-28,Sweden,0.8356
GDP (Prop),2002-06-28,Denmark,0.5425
GDP (Prop),2002-06-28,Spain,2.1359
GDP (Prop),2002-06-28,Italy,3.8732
GDP (Prop),2002-06-28,Hong Kong,0.5054
GDP (Prop),2002-06-28,Singapore,0.2898
GDP (Prop),2002-06-28,Belgium,0.7801
GDP (Prop),2002-06-28,Finland,0.4261
GDP (Prop),2002-06-28,Israel,0.3701
GDP (Prop),2002-06-28,Norway,0.5985
GDP (Prop),2002-06-28,Ireland,0.3828
GDP (Prop),2002-06-28,New Zealand,0.1902
GDP (Prop),2002-06-28,Austria,0.6457
GDP (Prop),2002-06-28,Portugal,0.4078
GDP (Prop),2002-06-28,China,4.4076
GDP (Prop),2002-06-28,India,1.467
GDP (Prop),2002-06-28,Taiwan,0.961
GDP (Prop),2002-06-28,Korea,1.9904
GDP (Prop),2002-06-28,Brazil,1.8395
GDP (Prop),2002-06-28,South Africa,0.4003
GDP (Prop),2002-06-28,Mexico,2.5666
GDP (Prop),2002-06-28,Indonesia,0.6173
GDP (Prop),2002-06-28,Malaysia,0.3208
GDP (Prop),2002-06-28,Thailand,0.4191
GDP (Prop),2002-06-28,Poland,0.6122
GDP (Prop),2002-06-28,Chile,0.2229
GDP (Prop),2002-06-28,Turkey,0.7649
GDP (Prop),2002-06-28,Greece,0.4431
GDP (Prop),2002-06-28,Philippines,0.2663
GDP (Prop),2002-06-28,Hungary,0.2032
GDP (Prop),2002-06-28,Egypt,0.2498
GDP (Prop),2002-06-28,Czech Republic,0.2556
GDP (Prop),2002-06-28,Colombia,0.3123
GDP (Prop),2002-06-28,Peru,0.1812
GDP (Prop),2002-09-30,USA,33.1045
GDP (Prop),2002-09-30,Japan,13.4389
GDP (Prop),2002-09-30,UK,5.6013
GDP (Prop),2002-09-30,France,4.7125
GDP (Prop),2002-09-30,Canada,2.3212
GDP (Prop),2002-09-30,Switzerland,0.9952
GDP (Prop),2002-09-30,Germany,6.6473
GDP (Prop),2002-09-30,Australia,1.3007
GDP (Prop),2002-09-30,Netherlands,1.5015
GDP (Prop),2002-09-30,Sweden,0.8024
GDP (Prop),2002-09-30,Denmark,0.567
GDP (Prop),2002-09-30,Spain,2.2409
GDP (Prop),2002-09-30,Italy,3.9608
GDP (Prop),2002-09-30,Hong Kong,0.5152
GDP (Prop),2002-09-30,Singapore,0.2845
GDP (Prop),2002-09-30,Belgium,0.8147
GDP (Prop),2002-09-30,Finland,0.4391
GDP (Prop),2002-09-30,Israel,0.3751
GDP (Prop),2002-09-30,Norway,0.6268
GDP (Prop),2002-09-30,Ireland,0.4112
GDP (Prop),2002-09-30,New Zealand,0.1924
GDP (Prop),2002-09-30,Austria,0.6712
GDP (Prop),2002-09-30,Portugal,0.4244
GDP (Prop),2002-09-30,China,4.5535
GDP (Prop),2002-09-30,India,1.4106
GDP (Prop),2002-09-30,Taiwan,0.9502
GDP (Prop),2002-09-30,Korea,2.0579
GDP (Prop),2002-09-30,Brazil,1.4626
GDP (Prop),2002-09-30,South Africa,0.4007
GDP (Prop),2002-09-30,Mexico,2.4285
GDP (Prop),2002-09-30,Indonesia,0.6357
GDP (Prop),2002-09-30,Malaysia,0.3322
GDP (Prop),2002-09-30,Thailand,0.4162
GDP (Prop),2002-09-30,Poland,0.5819
GDP (Prop),2002-09-30,Chile,0.2065
GDP (Prop),2002-09-30,Turkey,0.6905
GDP (Prop),2002-09-30,Greece,0.4822
GDP (Prop),2002-09-30,Philippines,0.248
GDP (Prop),2002-09-30,Hungary,0.2151
GDP (Prop),2002-09-30,Egypt,0.2844
GDP (Prop),2002-09-30,Czech Republic,0.2661
GDP (Prop),2002-09-30,Colombia,0.2716
GDP (Prop),2002-09-30,Peru,0.1565
GDP (Prop),2002-12-31,USA,32.6883
GDP (Prop),2002-12-31,Japan,12.8315
GDP (Prop),2002-12-31,UK,5.6465
GDP (Prop),2002-12-31,France,4.7226
GDP (Prop),2002-12-31,Canada,2.3082
GDP (Prop),2002-12-31,Switzerland,0.9855
GDP (Prop),2002-12-31,Germany,6.6367
GDP (Prop),2002-12-31,Australia,1.3222
GDP (Prop),2002-12-31,Netherlands,1.5032
GDP (Prop),2002-12-31,Sweden,0.8981
GDP (Prop),2002-12-31,Denmark,0.5665
GDP (Prop),2002-12-31,Spain,2.2675
GDP (Prop),2002-12-31,Italy,4.3642
GDP (Prop),2002-12-31,Hong Kong,0.5158
GDP (Prop),2002-12-31,Singapore,0.2772
GDP (Prop),2002-12-31,Belgium,0.819
GDP (Prop),2002-12-31,Finland,0.444
GDP (Prop),2002-12-31,Israel,0.3598
GDP (Prop),2002-12-31,Norway,0.6392
GDP (Prop),2002-12-31,Ireland,0.4124
GDP (Prop),2002-12-31,New Zealand,0.199
GDP (Prop),2002-12-31,Austria,0.6706
GDP (Prop),2002-12-31,Portugal,0.4243
GDP (Prop),2002-12-31,China,4.9947
GDP (Prop),2002-12-31,India,1.5945
GDP (Prop),2002-12-31,Taiwan,0.9131
GDP (Prop),2002-12-31,Korea,2.0312
GDP (Prop),2002-12-31,Brazil,1.2833
GDP (Prop),2002-12-31,South Africa,0.436
GDP (Prop),2002-12-31,Mexico,2.3522
GDP (Prop),2002-12-31,Indonesia,0.6036
GDP (Prop),2002-12-31,Malaysia,0.3272
GDP (Prop),2002-12-31,Thailand,0.405
GDP (Prop),2002-12-31,Poland,0.6578
GDP (Prop),2002-12-31,Chile,0.2057
GDP (Prop),2002-12-31,Turkey,0.7421
GDP (Prop),2002-12-31,Greece,0.5062
GDP (Prop),2002-12-31,Philippines,0.2688
GDP (Prop),2002-12-31,Hungary,0.2345
GDP (Prop),2002-12-31,Egypt,0.2615
GDP (Prop),2002-12-31,Czech Republic,0.2609
GDP (Prop),2002-12-31,Colombia,0.2572
GDP (Prop),2002-12-31,Peru,0.1622
GDP (Prop),2003-03-31,USA,32.4997
GDP (Prop),2003-03-31,Japan,12.8824
GDP (Prop),2003-03-31,UK,5.7349
GDP (Prop),2003-03-31,France,5.0159
GDP (Prop),2003-03-31,Canada,2.4081
GDP (Prop),2003-03-31,Switzerland,1.0394
