"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 04- 03","332.92","326.22","332.96","326.22","105.08M","-0.99%"
"2025- 04- 02","336.26","338.76","339.71","335.43","92.53M","-0.58%"
"2025- 04- 01","338.22","336.72","339.68","334.35","91.64M","1.75%"
"2025- 03- 31","332.40","336.95","337.16","332.22","108.93M","-3.08%"
"2025- 03- 28","342.96","347.55","347.77","341.76","83.73M","-2.08%"
"2025- 03- 27","350.26","351.40","353.55","349.63","91.60M","-1.34%"
"2025- 03- 26","355.00","352.78","355.56","351.64","88.17M","1.11%"
"2025- 03- 25","351.09","356.13","356.48","350.69","101.79M","-0.61%"
"2025- 03- 24","353.24","353.72","355.94","352.70","76.87M","-0.55%"
"2025- 03- 21","355.18","353.58","355.39","351.73","190.59M","0.48%"
"2025- 03- 20","353.50","353.71","354.70","351.14","159.04M","0.76%"
"2025- 03- 19","350.85","347.90","352.84","347.85","160.93M","0.87%"
"2025- 03- 18","347.84","350.81","352.35","346.96","179.40M","-0.10%"
"2025- 03- 17","348.19","343.99","348.26","343.99","172.18M","2.17%"
"2025- 03- 14","340.80","340.23","342.12","339.90","134.25M","-0.18%"
"2025- 03- 13","341.42","344.28","344.98","339.23","192.15M","0.16%"
"2025- 03- 12","340.89","337.02","341.53","335.64","206.77M","1.77%"
"2025- 03- 11","334.96","331.64","336.40","330.22","172.62M","-1.13%"
"2025- 03- 10","338.79","337.12","340.26","336.54","139.47M","0.11%"
"2025- 03- 07","338.42","336.91","340.07","335.39","181.96M","-0.56%"
"2025- 03- 06","340.31","339.16","341.09","338.07","171.06M","0.96%"
"2025- 03- 05","337.08","336.89","338.77","334.25","200.03M","0.92%"
"2025- 03- 04","334.02","332.58","336.57","331.67","186.96M","-0.07%"
"2025- 02- 28","334.27","341.16","341.57","334.06","248.80M","-3.52%"
"2025- 02- 27","346.45","348.52","348.91","344.95","159.51M","-0.82%"
"2025- 02- 26","349.31","347.44","350.51","346.25","194.20M","0.51%"
"2025- 02- 25","347.54","345.83","349.23","345.58","188.69M","-0.67%"
"2025- 02- 24","349.90","348.98","349.90","347.41","197.14M","-0.57%"
"2025- 02- 21","351.92","352.17","352.23","349.55","175.18M","-0.07%"
"2025- 02- 20","352.15","353.35","354.30","350.78","218.10M","-0.67%"
"2025- 02- 19","354.53","349.03","355.86","349.03","254.87M","1.92%"
"2025- 02- 18","347.84","345.67","348.28","344.51","180.45M","0.79%"
"2025- 02- 17","345.11","343.29","345.56","342.75","157.27M","0.69%"
"2025- 02- 14","342.76","341.88","344.14","341.29","236.98M","0.50%"
"2025- 02- 13","341.06","338.53","341.09","337.93","263.55M","1.14%"
"2025- 02- 12","337.23","335.79","337.65","334.49","206.18M","0.17%"
"2025- 02- 11","336.67","335.94","338.11","334.82","142.33M","0.65%"
"2025- 02- 10","334.50","332.06","335.34","330.65","146.82M","0.18%"
"2025- 02- 07","333.89","335.92","336.36","333.41","148.41M","-0.78%"
"2025- 02- 06","336.53","334.31","336.53","332.98","168.94M","1.22%"
"2025- 02- 05","332.47","332.05","333.66","330.96","127.45M","1.14%"
"2025- 02- 04","328.72","328.58","332.75","327.27","151.26M","1.28%"
"2025- 02- 03","324.55","326.44","326.80","322.31","159.27M","-2.64%"
"2025- 01- 31","333.36","336.45","337.15","330.20","175.54M","-1.00%"
"2025- 01- 24","336.74","336.17","338.18","335.18","118.26M","0.67%"
"2025- 01- 23","334.50","337.56","337.81","334.50","127.01M","-1.26%"
"2025- 01- 22","338.76","336.95","339.51","335.19","164.37M","1.29%"
"2025- 01- 21","334.44","336.12","338.70","333.02","124.96M","0.15%"
"2025- 01- 20","333.94","336.31","336.79","333.42","111.67M","-0.34%"
"2025- 01- 17","335.09","334.71","336.14","333.29","133.72M","-0.19%"
"2025- 01- 16","335.73","335.70","336.72","334.64","136.04M","1.44%"
"2025- 01- 15","330.97","332.83","335.11","330.28","155.70M","0.07%"
"2025- 01- 14","330.74","331.46","332.12","328.85","115.65M","0.13%"
"2025- 01- 13","330.31","333.10","334.10","329.53","116.77M","-1.27%"
"2025- 01- 10","334.55","336.60","337.61","333.39","139.73M","-0.25%"
"2025- 01- 09","335.40","336.11","338.12","334.77","145.22M","0.13%"
"2025- 01- 08","334.95","328.98","336.02","328.98","139.75M","1.23%"
"2025- 01- 07","330.89","335.46","336.60","330.89","133.15M","-0.19%"
"2025- 01- 06","331.52","325.82","331.61","324.89","102.03M","2.32%"
"2025- 01- 03","324.00","318.26","326.06","318.04","110.73M","1.96%"
"2025- 01- 02","317.77","317.68","319.01","315.82","91.35M","-0.02%"
"2024- 12- 30","317.82","318.13","322.20","316.94","73.58M","-0.38%"
"2024- 12- 27","319.03","320.24","321.30","316.91","86.74M","-0.75%"
"2024- 12- 26","321.45","324.48","324.48","321.42","92.61M","-0.60%"
"2024- 12- 24","323.39","324.11","324.50","321.86","78.51M","0.13%"
"2024- 12- 23","322.98","321.00","324.00","319.77","100.61M","1.46%"
"2024- 12- 20","318.33","321.38","321.80","315.82","124.96M","-1.26%"
"2024- 12- 19","322.38","321.42","324.37","321.11","104.15M","-2.23%"
"2024- 12- 18","329.72","326.00","330.90","325.90","96.32M","1.37%"
"2024- 12- 17","325.25","329.25","329.38","324.90","125.13M","-1.32%"
"2024- 12- 16","329.61","332.92","333.59","328.63","108.95M","-0.27%"
"2024- 12- 13","330.49","328.14","331.67","327.46","115.70M","0.44%"
"2024- 12- 12","329.04","325.84","330.10","324.79","173.97M","1.60%"
"2024- 12- 11","323.86","319.56","323.99","319.36","104.24M","0.96%"
"2024- 12- 10","320.79","317.02","321.11","317.00","139.13M","2.25%"
"2024- 12- 09","313.74","317.30","318.70","313.51","151.03M","-2.59%"
"2024- 12- 06","322.07","325.18","326.21","317.70","156.24M","-0.56%"
"2024- 12- 05","323.87","327.44","327.44","322.80","144.87M","-0.83%"
"2024- 12- 04","326.59","324.38","329.01","323.90","217.71M","-1.46%"
"2024- 12- 03","331.44","327.45","331.60","327.45","129.91M","1.87%"
"2024- 12- 02","325.34","328.47","328.89","324.49","117.60M","-0.03%"
"2024- 11- 29","325.45","330.18","330.30","323.55","134.81M","-1.81%"
"2024- 11- 28","331.45","331.60","333.27","330.89","102.69M","-0.26%"
"2024- 11- 27","332.32","334.85","335.63","331.56","121.77M","-0.98%"
"2024- 11- 26","335.60","334.79","336.16","334.08","133.02M","-0.31%"
"2024- 11- 25","336.63","335.66","337.81","334.14","213.36M","1.28%"
"2024- 11- 22","332.36","331.20","334.00","330.84","113.35M","0.87%"
"2024- 11- 21","329.49","327.74","331.81","327.67","116.36M","0.14%"
"2024- 11- 20","329.02","328.73","330.33","327.58","109.86M","0.28%"
"2024- 11- 19","328.11","328.17","329.76","327.25","141.86M","-0.10%"
"2024- 11- 18","328.44","324.74","330.32","324.07","159.11M","2.47%"
"2024- 11- 15","320.53","318.19","322.58","316.14","177.52M","0.89%"
"2024- 11- 14","317.70","320.32","321.87","316.99","213.66M","-0.36%"
"2024- 11- 13","318.84","325.38","327.20","318.58","171.26M","-2.59%"
"2024- 11- 12","327.31","333.67","334.30","327.07","173.53M","-2.19%"
"2024- 11- 11","334.64","338.62","338.62","333.76","168.97M","-1.49%"
"2024- 11- 08","339.71","343.78","344.56","338.82","139.53M","-0.34%"
"2024- 11- 07","340.87","339.69","343.02","337.76","167.22M","0.08%"
"2024- 11- 06","340.61","343.52","343.81","337.61","132.09M","-0.25%"
"2024- 11- 05","341.47","340.72","342.88","339.78","88.17M","-0.62%"
"2024- 11- 04","343.60","338.42","343.60","337.80","99.33M","1.81%"
"2024- 11- 01","337.49","337.56","339.93","336.58","104.59M","-0.54%"
"2024- 10- 31","339.32","342.20","343.30","339.18","147.44M","-1.65%"
"2024- 10- 30","345.00","346.65","347.79","343.85","128.04M","-0.94%"
"2024- 10- 29","348.28","346.59","348.28","344.56","134.51M","0.29%"
"2024- 10- 28","347.27","344.07","347.53","343.74","120.39M","1.14%"
"2024- 10- 25","343.37","345.04","347.25","342.34","132.30M","0.14%"
"2024- 10- 24","342.88","344.61","345.97","342.67","124.38M","-0.98%"
"2024- 10- 23","346.27","342.44","347.75","341.24","123.46M","1.22%"
"2024- 10- 22","342.09","346.16","346.73","341.55","126.78M","-1.31%"
"2024- 10- 21","346.62","346.25","348.62","345.12","103.21M","0.35%"
"2024- 10- 18","345.42","348.59","349.24","344.72","106.42M","-0.66%"
"2024- 10- 17","347.73","348.84","349.18","346.32","146.93M","0.14%"
"2024- 10- 16","347.26","346.34","349.11","345.54","133.29M","-1.09%"
"2024- 10- 15","351.07","351.04","351.46","348.66","118.80M","0.38%"
"2024- 10- 14","349.74","346.48","350.56","346.48","107.01M","1.24%"
"2024- 10- 11","345.45","347.17","348.77","345.17","108.87M","0.07%"
