theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
390,마이크로 LED,8.44,-2.52,10,0,1,0.575023,3.51780312,"5,485.03",432.57,8.56,2026-04-01 15:07:25
144,방위산업/전쟁 및 테러,8.38,-2.62,64,1,1,0.536835,3.784692400000001,"5,485.03",432.57,8.56,2026-04-01 15:07:25
426,양자암호/양자컴퓨팅,8.24,-2.06,23,1,0,0.458166,4.31809904,"5,485.03",432.57,8.56,2026-04-01 15:07:25
483,야놀자(Yanolja),8.23,-2.13,5,0,0,0.408392,4.7341644800000005,"5,485.03",432.57,8.56,2026-04-01 15:07:25
559,고체산화물 연료전지(SOFC),8.14,-2.63,9,0,2,0.953675,-0.023457999999999757,"5,485.03",432.57,8.56,2026-04-01 15:07:25
12,반도체 장비,8.09,-2.43,90,0,2,0.836701,0.9278394399999996,"5,485.03",432.57,8.56,2026-04-01 15:07:25
325,종합상사,8.05,-1.78,8,0,0,0.346361,5.085149840000001,"5,485.03",432.57,8.56,2026-04-01 15:07:25
517,우크라이나 재건,7.94,-0.79,34,0,0,0.423375,4.315910000000001,"5,485.03",432.57,8.56,2026-04-01 15:07:25
557,유리 기판,7.91,-2.41,20,0,0,0.713941,1.7986650399999995,"5,485.03",432.57,8.56,2026-04-01 15:07:25
124,제대혈,7.84,-1.31,5,0,0,0.430958,4.150999519999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
151,증권,7.84,-2.62,21,0,0,0.761878,1.3183243199999994,"5,485.03",432.57,8.56,2026-04-01 15:07:25
587,피지컬 AI/휴머노이드 로봇,7.83,-2.35,39,0,0,0.5,3.55,"5,485.03",432.57,8.56,2026-04-01 15:07:25
462,UAM(도심항공모빌리티),7.82,-2.56,25,0,0,0.511028,3.4456003199999996,"5,485.03",432.57,8.56,2026-04-01 15:07:25
287,PCB(FPCB 등),7.74,-2.58,29,0,2,0.632153,2.3287703200000003,"5,485.03",432.57,8.56,2026-04-01 15:07:25
505,로봇(산업용/협동로봇 등),7.74,-2.36,61,0,3,0.532839,3.17889816,"5,485.03",432.57,8.56,2026-04-01 15:07:25
405,MLCC(적층세라믹콘덴서),7.68,-2.85,10,0,0,0.637938,2.21925072,"5,485.03",432.57,8.56,2026-04-01 15:07:25
321,무선충전기술,7.64,-2.53,10,0,2,0.651058,2.066943519999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
