code,name,n_obs,r_squared,beta_mkt,beta_fx_crisis,beta_fx_normal,beta_fx_stable,se_fx_crisis,se_fx_normal,se_fx_stable,tstat_fx_crisis,tstat_fx_normal,tstat_fx_stable,pval_fx_crisis,pval_fx_normal,pval_fx_stable,wald_f,wald_p
A139480,이마트,1466,0.16189653801046155,0.5981585218682572,-0.030108229358402284,-0.41097408553255954,-0.20625340939161182,0.15387661555820817,0.19113738716103046,0.2643881367467743,-0.1956647489885362,-2.150150170182665,-0.7801159761913116,0.8448725772711417,0.03154333822565657,0.4353226135063123,3.0650476415160166,0.21598985915468763
A103140,풍산,1466,0.19336245963431686,0.9260831992362678,-0.024397321592244288,0.22172323070568783,-0.23943481378537806,0.1868453552397238,0.4171069071508762,0.41124153053463336,-0.13057494290367758,0.5315741046347284,-0.582224303742138,0.896111565653875,0.5950210038366994,0.5604156049552291,0.6496421008158525,0.7226566611866896
A062040,산일전기,337,0.17264029559446104,1.2499333092677678,0.4181678410890618,1.5780163955762214,-0.3108640838461031,0.7647448705376667,0.5314406401676465,0.7047669228198292,0.5468069904085292,2.9693182574039234,-0.44108778914071456,0.584511340043911,0.0029846130427999273,0.6591494432051993,5.143114814921999,0.07641644116544115
A052690,한전기술,1466,0.11155524696038777,0.8138304237303605,-0.19746318084528205,-0.36555723105197496,-0.22430038250000917,0.19569598276446004,0.3544626481100064,0.23872941369530162,-1.0090303237494098,-1.0312997236835104,-0.939559055702668,0.31296009156010574,0.3024002878831338,0.34744378666002973,0.19145243368171955,0.9087127722680659
A042670,HD현대인프라코어,1466,0.1421785434209213,0.8827500007189666,-0.03956463716715561,-0.43282135689542806,-0.5677238336755657,0.2616728445542785,0.27520160872101407,0.2658344148050671,-0.15119886526455656,-1.5727428299091128,-2.1356295575645095,0.8798188453926058,0.11577837820671871,0.03270962023480069,2.685459369514491,0.2611318870924847
A002380,KCC,1466,0.23441068358576767,0.8934990501276865,-0.07017651971953097,-0.5238084111284783,-0.8722021870507664,0.2006440481099068,0.1987838307457098,0.2709305902162228,-0.3497562991805786,-2.6350654837643694,-3.21928279252145,0.7265215982071657,0.008412105257251092,0.0012851167947072796,6.735748261265556,0.034462822984044336
A001450,현대해상,1466,0.11862913613439308,0.5631059257926926,0.3677257401332156,0.06469564155971212,0.0728594254337215,0.15118119869754304,0.18125206487170853,0.2138392439519986,2.4323510019846917,0.35693740430214765,0.340720552912526,0.015001162104652665,0.721138667020724,0.7333139645411004,2.650558647853272,0.265728724330937
A454910,두산로보틱스,537,0.13774760214326542,1.043717810680867,-0.42639723811760916,-0.4420999583153636,-0.5747949614840583,0.48394505070614646,0.4024819901184727,0.4693431024550271,-0.8810860602777802,-1.0984341390908674,-1.2246796820437682,0.3782712415309387,0.2720149619388823,0.22069593237339213,0.06978421027614634,0.9657096057412833
A251270,넷마블,1466,0.13644243967307912,0.6382907481621934,-0.9402525058949542,-0.5364464502846562,0.09917504755934062,0.20725018910872461,0.23514151382628345,0.3110682584190498,-4.536799266328739,-2.2813770378333498,0.31882085322167075,5.711442151104932e-06,0.022526145607228824,0.7498623642547129,8.499953596300715,0.014264564869449109
A097950,CJ제일제당,1466,0.21848335179871636,0.6424582533356766,0.486951759224407,0.015679869521975365,-0.9262576659695495,0.14482477804835694,0.18610144643638774,0.680876473764467,3.3623511514156363,0.08425442049068103,-1.3603901759865569,0.0007728177836225123,0.9328541506677887,0.17370648562343927,8.325176697813099,0.015567212351235886
A081660,미스토홀딩스,1466,0.19522127371475684,0.7253850037509011,0.24381402652011713,-0.30842172052709577,-0.7929715473125393,0.14464724539612747,0.21134175762817364,0.24667403017145872,1.6855766997319162,-1.459350598709985,-3.214653552144743,0.09187736020074817,0.14446863551104977,0.0013060204273028107,17.42426808783993,0.00016457666562104604
A036460,한국가스공사,1466,0.14857403849675055,0.8086089407119589,0.11627531028124631,-0.3511139837389916,0.0270341617441609,0.19801950994471448,0.24538831426532834,0.39990740356849874,0.5871911828976321,-1.4308504656800667,0.06760105340117895,0.5570753133682342,0.15247307608020358,0.9461032168267118,2.5149986026387685,0.2843642474037149
A030000,제일기획,1466,0.24449488272795583,0.5689304248777522,0.2224880210135351,0.030462005201433495,-0.8407234049462768,0.12160252988417311,0.16279509531326494,0.38061017002086145,1.829633159979943,0.18711869140047352,-2.2088831859122324,0.06730481176893276,0.8515675733684716,0.02718276700267314,7.182196560293212,0.0275680363635932
A029780,삼성카드,1466,0.19922599000115615,0.4751478192951553,0.14758239623211467,0.1202169036700649,-0.7014499462269909,0.10644188591960849,0.1431840054245188,0.46115855372181136,1.386506777450167,0.8395972951981617,-1.5210602526308827,0.16559221221127218,0.4011342163061744,0.12824471777033428,2.99153410081598,0.2240766607000854
A010060,OCI홀딩스,1466,0.19974584644446658,1.0849091664352195,0.10041223237202533,0.062334748353287235,-0.7837632315734605,0.21461267366208156,0.30218288594045145,0.3818688027224847,0.46787652685474407,0.20628153099832067,-2.0524411158641946,0.6398728905117056,0.8365710044224749,0.04012681215841924,4.409456982996363,0.11028046332346478
A009420,한올바이오파마,1466,0.11671043316888063,0.7136003227580933,-0.6670917861047101,-0.6734553543573499,-1.0156390280226018,0.24756251745440525,0.25999599231847875,0.29856571099989143,-2.694639693295135,-2.590252827945169,-3.401726958602326,0.007046478236654905,0.00959054662800442,0.000669615020895708,1.0758686151823202,0.5839532751899305
A004170,신세계,1466,0.22063630738491558,0.6228398058575975,-0.13955027147568497,-0.24419468923287377,-0.8723418811955573,0.1423767849180693,0.17242700899019978,0.26655093700356547,-0.9801476522734318,-1.416220641203334,-3.272702362265148,0.3270132399637483,0.15671091428816264,0.001065245873494397,7.7701621378446575,0.020546163038616692
A450080,에코프로머티,507,0.14541105092801088,1.297366985115867,-0.4583260910410774,-1.3278865444454504,-1.6653661645591094,0.6727445674689619,0.6966867174717336,0.4474548117623467,-0.6812780261688594,-1.906002384061996,-3.7218644671623795,0.4956955846165578,0.05664989634250548,0.00019775716617281128,2.309430700405562,0.31514723073246487
A377300,카카오페이,1011,0.16378431238115687,0.9600297531645446,-1.4138839922195081,-0.36488732700124404,-0.9921315888670366,0.5881755690108774,0.5027232399183342,0.3884859557731742,-2.4038468557903676,-0.7258214819361023,-2.5538415845496196,0.016223568134377545,0.46794821589212476,0.010654171752379885,2.5139297545183688,0.2845162591151281
A302440,SK바이오사이언스,1167,0.10634946774203913,0.7611484360102183,-0.29381193410728373,-0.6192776779486153,-0.5785453027195342,0.24468847586783635,0.3153968465006569,0.364841589048944,-1.2007591819157861,-1.963487221953963,-1.5857438408479292,0.22984462965309516,0.049589587802208485,0.11279742972610537,0.9592005874146337,0.6190307728582416
