BaseDate,SellDate,leader,n_selected,n_priced,basket_return,win,top_codes,year
2007-04-13,2007-04-20,CP_MOM,10,9,0.057863245267944605,1,"A007310,A000990,A047040,A002270,A025540,A056190,A002350,A039490,A011780,A000670",2007
2007-04-20,2007-04-27,CP_Q,10,9,0.02261302396255084,1,"A000050,A023410,A025560,A025540,A025000,A024660,A024110,A023590,A023530,A023160",2007
2007-04-27,2007-05-04,CP_MOM,10,10,0.018940557372649193,1,"A005440,A017800,A020560,A053800,A010950,A005180,A002380,A003550,A016360,A034220",2007
2007-05-04,2007-05-11,CP_MOM,10,10,-0.014261620131556274,0,"A020560,A035250,A005850,A039130,A006840,A018880,A036570,A000240,A000070,A012330",2007
2007-05-11,2007-05-18,CP_V,10,8,0.04825211125703563,1,"A003240,A003070,A000240,A015940,A007310,A019680,A084870,A001450,A016990,A064960",2007
2007-05-18,2007-05-25,CP_G,10,10,0.018859057469405693,1,"A016800,A056190,A005880,A003480,A006800,A003030,A008770,A078930,A001210,A036930",2007
2007-05-25,2007-06-01,CP_MOM,10,10,0.0842059131605797,1,"A000720,A009150,A001450,A023410,A011200,A008930,A005440,A030000,A010120,A000670",2007
2007-06-01,2007-06-08,CP_S,10,6,0.09206097441999152,1,"A065410,A036930,A004200,A035080,A023410,A013240,A056190,A008060,A000800,A047080",2007
2007-06-08,2007-06-15,CP_MOM,10,10,0.0354036280568102,1,"A023410,A001520,A000070,A036460,A009970,A036930,A001040,A006280,A003470,A012750",2007
2007-06-15,2007-06-22,CP_LV,10,7,-0.013080603729164262,0,"A004990,A007190,A003240,A011930,A072710,A001370,A073710,A039560,A060150,A003520",2007
2007-06-22,2007-06-29,CP_G,10,10,-0.016753527303650838,0,"A036530,A036930,A005960,A071050,A006280,A008770,A004150,A048870,A004000,A036830",2007
2007-06-29,2007-07-06,CP_MOM,10,10,0.018610469509379324,1,"A090430,A005250,A009970,A064960,A015750,A000640,A010950,A069960,A036460,A036570",2007
