BaseDate,SellDate,leader,status,basket_return,basket_gross,n_picked,top_codes,year,win,bm_return,excess_return,beat_bm
2010-07-30,2010-08-06,CP_S,traded,0.005489905997834489,0.007489905997834489,10,"A078340,A054670,A038290,A101730,A003520,A036190,A035890,A053030,A093920,A041520",2010,1,0.01392575582750255,-0.008435849829668062,0
2010-08-06,2010-08-13,CP_MOM,traded,-0.00817314447263756,-0.0061731444726375595,10,"A078930,A078160,A010060,A090430,A009830,A023530,A012330,A004020,A035250,A002790",2010,0,-0.021072635845343912,0.012899491372706353,1
2010-08-13,2010-08-20,CP_Q,skip_quality,0.0,,0,,2010,0,0.016778907824812173,-0.016778907824812173,0
2010-08-20,2010-08-27,CP_G,traded,-0.044530347374966514,-0.04253034737496651,10,"A056700,A016880,A031980,A104700,A086900,A078160,A083650,A051500,A034020,A068270",2010,0,-0.025896347026819977,-0.018634000348146537,0
2010-08-27,2010-09-03,CP_MOM,traded,-0.016746278490154864,-0.014746278490154863,10,"A082270,A003670,A008770,A049960,A010060,A018880,A056190,A051370,A001040,A036570",2010,0,0.02917505030181089,-0.045921328791965754,0
2010-09-03,2010-09-10,CP_V,traded,-0.004445699949582114,-0.0024456999495821143,10,"A009410,A003540,A025540,A001130,A111770,A000230,A005250,A003030,A058470,A017670",2010,0,0.012674014898709007,-0.017119714848291123,0
2010-09-10,2010-09-17,CP_MOM,traded,0.013488346205838022,0.015488346205838022,10,"A005850,A043370,A051370,A056190,A023530,A003670,A097230,A022100,A011790,A004020",2010,1,0.01374141508282567,-0.0002530688769876478,0
2010-09-17,2010-09-24,CP_V,traded,0.012319405515146577,0.014319405515146577,10,"A024110,A014830,A003530,A029530,A004690,A030200,A001720,A001680,A011040,A006650",2010,1,0.010534380386899134,0.001785025128247443,1
2010-09-24,2010-10-01,CP_V,traded,0.026171549436957743,0.028171549436957745,10,"A100840,A017670,A025540,A008060,A001130,A001680,A017390,A011040,A014830,A002320",2010,1,0.016316473518899643,0.0098550759180581,1
2010-10-01,2010-10-08,CP_S,traded,0.01592702759976932,0.01792702759976932,10,"A084990,A083790,A043610,A046440,A108230,A025770,A051500,A038290,A095700,A019210",2010,1,0.010838000138538861,0.0050890274612304595,1
2010-10-08,2010-10-15,CP_MOM,traded,0.02509658370853446,0.02709658370853446,10,"A009540,A042660,A082270,A003670,A041510,A000270,A058650,A097230,A005440,A004020",2010,1,0.0027516116959311887,0.02234497201260327,1
2010-10-15,2010-10-22,CP_Q,skip_quality,0.0,,0,,2010,0,-0.002617897376320122,0.002617897376320122,1
2010-10-22,2010-10-29,CP_LV,traded,-0.007301313220633009,-0.005301313220633009,10,"A016360,A007310,A036460,A000230,A000080,A003540,A000370,A004370,A001720,A014830",2010,0,-0.007568610295629052,0.00026729707499604377,1
2010-10-29,2010-11-05,CP_LV,traded,0.01210444349897163,0.014104443498971631,10,"A000100,A004170,A005930,A036460,A000370,A000230,A016360,A078020,A003540,A084110",2010,1,0.029745877479486982,-0.01764143398051535,0
2010-11-05,2010-11-12,CP_Q,skip_quality,0.0,,0,,2010,0,-0.013326731856252882,0.013326731856252882,1
2010-11-12,2010-11-19,CP_LV,traded,-0.0007717947990802259,0.001228205200919774,10,"A033780,A000400,A078020,A011040,A002240,A072710,A000370,A026960,A004170,A009290",2010,0,0.01455214518691994,-0.015323939986000167,0
2010-11-19,2010-11-26,CP_MOM,traded,-0.08394551781651191,-0.08194551781651191,10,"A003240,A036570,A068270,A011790,A023410,A003670,A005380,A058650,A086900,A005850",2010,0,-0.02017558321655266,-0.06376993459995925,0
2010-11-26,2010-12-03,CP_G,traded,0.05301941766347409,0.05501941766347409,10,"A004710,A010950,A047040,A101680,A028050,A003670,A025860,A019210,A104700,A033640",2010,1,0.0291618466715744,0.02385757099189969,1
2010-12-03,2010-12-10,CP_MOM,traded,-0.00445551509428713,-0.0024555150942871307,10,"A068270,A002350,A011170,A078160,A012330,A000270,A017800,A064960,A005250,A011790",2010,0,0.014755321214350747,-0.019210836308637878,0
2010-12-10,2010-12-17,CP_LV,traded,0.006645834187831547,0.008645834187831547,10,"A000230,A007310,A084110,A004690,A002390,A004170,A001720,A000480,A086450,A005490",2010,1,0.02022012546950358,-0.013574291281672033,0
