BaseDate,SellDate,leader,status,basket_return,year,win
2012-09-07,2012-09-14,CP_V,traded,0.03371404247069707,2012,1
2012-09-14,2012-09-21,CP_MOM,traded,0.041278099904634616,2012,1
2012-09-21,2012-09-28,CP_Q,skip,0.0,2012,0
2012-09-28,2012-10-05,CP_S,traded,0.03279441976038526,2012,1
2012-10-05,2012-10-12,CP_MOM,traded,0.015928179380185904,2012,1
2012-10-12,2012-10-19,CP_V,traded,0.011100915339559926,2012,1
2012-10-19,2012-10-26,CP_LV,traded,-0.005728723462966299,2012,0
2012-10-26,2012-11-02,CP_G,skip,0.0,2012,0
2012-11-02,2012-11-09,CP_S,traded,0.02102671246212414,2012,1
2012-11-09,2012-11-16,CP_LV,traded,-0.01744711585612316,2012,0
2012-11-16,2012-11-23,CP_Q,skip,0.0,2012,0
2012-11-23,2012-11-30,CP_V,traded,0.028513188364851776,2012,1
2012-11-30,2012-12-07,CP_V,traded,-0.012373425980363393,2012,0
2012-12-07,2012-12-14,CP_V,traded,0.06279037499619454,2012,1
2012-12-14,2012-12-21,CP_LV,traded,0.0027394792569673384,2012,1
2012-12-21,2012-12-28,CP_G,skip,0.0,2012,0
2012-12-28,2013-01-04,CP_S,traded,0.01629737405253647,2012,1
2013-01-04,2013-01-11,CP_S,traded,0.04037447134444351,2013,1
2013-01-11,2013-01-18,CP_V,traded,0.008382643076381582,2013,1
2013-01-18,2013-01-25,CP_V,traded,-0.020692964951133652,2013,0
2013-01-25,2013-02-01,CP_LV,traded,0.003618283584432804,2013,1
2013-02-01,2013-02-08,CP_S,traded,0.0032068156142172413,2013,1
2013-02-08,2013-02-15,CP_G,skip,0.0,2013,0
2013-02-15,2013-02-22,CP_G,skip,0.0,2013,0
2013-02-22,2013-02-28,CP_Q,skip,0.0,2013,0
2013-02-28,2013-03-08,CP_Q,skip,0.0,2013,0
2013-03-08,2013-03-15,CP_S,traded,0.014250240977088957,2013,1
2013-03-15,2013-03-22,CP_S,traded,-0.006147315995514123,2013,0
2013-03-22,2013-03-29,CP_S,traded,0.002660534886442147,2013,1
2013-03-29,2013-04-05,CP_MOM,traded,-6.531230594904831e-05,2013,0
2013-04-05,2013-04-12,CP_MOM,traded,-0.007063278866805521,2013,0
2013-04-12,2013-04-19,CP_MOM,traded,0.011422680781324747,2013,1
2013-04-19,2013-04-26,CP_S,traded,0.0708926527079344,2013,1
2013-04-26,2013-05-03,CP_V,traded,0.006525024089774902,2013,1
2013-05-03,2013-05-10,CP_V,traded,0.010560480032663112,2013,1
2013-05-10,2013-05-16,CP_V,traded,0.0169036921616878,2013,1
2013-05-16,2013-05-24,CP_S,traded,0.014747714371765431,2013,1
2013-05-24,2013-05-31,CP_V,traded,-0.029039787135555183,2013,0
2013-05-31,2013-06-07,CP_LV,traded,-0.021845373762198715,2013,0
2013-06-07,2013-06-14,CP_LV,traded,-0.01253803362503326,2013,0
2013-06-14,2013-06-21,CP_MOM,traded,-0.032115763515590375,2013,0
2013-06-21,2013-06-28,CP_G,skip,0.0,2013,0
2013-06-28,2013-07-05,CP_Q,skip,0.0,2013,0
2013-07-05,2013-07-12,CP_G,skip,0.0,2013,0
2013-07-12,2013-07-19,CP_S,traded,0.007372948297073724,2013,1
2013-07-19,2013-07-26,CP_V,traded,0.015216866187257929,2013,1
2013-07-26,2013-08-02,CP_S,traded,0.008604304720897373,2013,1
2013-08-02,2013-08-09,CP_S,traded,0.005689031363129495,2013,1
2013-08-09,2013-08-16,CP_V,traded,0.018930219326643363,2013,1
2013-08-16,2013-08-23,CP_MOM,traded,-0.04463768496351241,2013,0
2013-08-23,2013-08-30,CP_V,traded,0.01510332390840582,2013,1
2013-08-30,2013-09-06,CP_V,traded,0.017785830944646176,2013,1
2013-09-06,2013-09-13,CP_G,skip,0.0,2013,0
2013-09-13,2013-09-17,CP_LV,traded,-0.003886408651420579,2013,0
2013-09-17,2013-09-27,CP_MOM,traded,0.02167933318187184,2013,1
2013-09-27,2013-10-04,CP_Q,skip,0.0,2013,0
2013-10-04,2013-10-11,CP_V,traded,-0.009941770895962985,2013,0
2013-10-11,2013-10-18,CP_LV,traded,-0.0006876728349456611,2013,0
2013-10-18,2013-10-25,CP_S,traded,0.011422840645364231,2013,1
2013-10-25,2013-11-01,CP_Q,skip,0.0,2013,0
2013-11-01,2013-11-08,CP_LV,traded,-0.011122824308696343,2013,0
2013-11-08,2013-11-15,CP_S,traded,-0.008495486516536064,2013,0
2013-11-15,2013-11-22,CP_G,skip,0.0,2013,0
2013-11-22,2013-11-29,CP_Q,skip,0.0,2013,0
2013-11-29,2013-12-06,CP_Q,skip,0.0,2013,0
2013-12-06,2013-12-13,CP_LV,traded,0.0012517047666416722,2013,1
2013-12-13,2013-12-20,CP_V,traded,0.022406631436221396,2013,1
2013-12-20,2013-12-27,CP_G,skip,0.0,2013,0
2013-12-27,2014-01-03,CP_S,traded,0.006888216086484957,2013,1
2014-01-03,2014-01-10,CP_S,traded,0.027715812573255595,2014,1
2014-01-10,2014-01-17,CP_G,skip,0.0,2014,0
2014-01-17,2014-01-24,CP_LV,traded,-0.03412792465650323,2014,0
2014-01-24,2014-01-29,CP_MOM,traded,-0.00229445179609916,2014,0
2014-01-29,2014-02-07,CP_S,traded,0.019914880113972237,2014,1
2014-02-07,2014-02-14,CP_G,skip,0.0,2014,0
2014-02-14,2014-02-21,CP_S,traded,0.022418208180158876,2014,1
2014-02-21,2014-02-28,CP_S,traded,0.04281213459568008,2014,1
2014-02-28,2014-03-07,CP_S,traded,0.030354597183867647,2014,1
2014-03-07,2014-03-14,CP_S,traded,-0.0025762222154785057,2014,0
2014-03-14,2014-03-21,CP_S,traded,0.02601683168465333,2014,1
2014-03-21,2014-03-28,CP_V,traded,0.02089549166674786,2014,1
2014-03-28,2014-04-04,CP_S,traded,0.02892754192081736,2014,1
2014-04-04,2014-04-11,CP_S,traded,-0.0015673125979229635,2014,0
2014-04-11,2014-04-18,CP_S,traded,0.05469796140875083,2014,1
2014-04-18,2014-04-25,CP_Q,skip,0.0,2014,0
2014-04-25,2014-05-02,CP_MOM,traded,0.016765564803827473,2014,1
2014-05-02,2014-05-09,CP_MOM,traded,-0.0013114869818884195,2014,0
2014-05-09,2014-05-16,CP_LV,traded,0.014191298779050178,2014,1
2014-05-16,2014-05-23,CP_MOM,traded,0.04513742585702123,2014,1
2014-05-23,2014-05-30,CP_MOM,traded,0.008130395754641131,2014,1
2014-05-30,2014-06-05,CP_LV,traded,-0.00603705732066979,2014,0
2014-06-05,2014-06-13,CP_S,traded,0.02976386371119496,2014,1
2014-06-13,2014-06-20,CP_MOM,traded,0.01492694362384356,2014,1
2014-06-20,2014-06-27,CP_S,traded,-0.014631410673912324,2014,0
2014-06-27,2014-07-04,CP_MOM,traded,0.06444814509990171,2014,1
2014-07-04,2014-07-11,CP_S,traded,0.011616982725771031,2014,1
2014-07-11,2014-07-18,CP_S,traded,0.026204007351533186,2014,1
2014-07-18,2014-07-25,CP_LV,traded,0.022996113180476854,2014,1
2014-07-25,2014-08-01,CP_LV,traded,0.02110488427048899,2014,1
2014-08-01,2014-08-08,CP_MOM,traded,0.028268600338827075,2014,1
2014-08-08,2014-08-14,CP_MOM,traded,0.037731797803914946,2014,1
2014-08-14,2014-08-22,CP_MOM,traded,0.07634903582436414,2014,1
2014-08-22,2014-08-29,CP_V,traded,0.019413664205613503,2014,1
2014-08-29,2014-09-05,CP_S,traded,-0.008322728142966194,2014,0
2014-09-05,2014-09-12,CP_LV,traded,0.0003746733287051012,2014,1
2014-09-12,2014-09-19,CP_G,skip,0.0,2014,0
2014-09-19,2014-09-26,CP_MOM,traded,0.013746429146871875,2014,1
2014-09-26,2014-10-02,CP_MOM,traded,0.02175065266272326,2014,1
2014-10-02,2014-10-10,CP_LV,traded,-0.025068229725971315,2014,0
2014-10-10,2014-10-17,CP_S,traded,0.0020802992293259452,2014,1
2014-10-17,2014-10-24,CP_MOM,traded,0.058706549099770564,2014,1
2014-10-24,2014-10-31,CP_LV,traded,0.016010165049882098,2014,1
2014-10-31,2014-11-07,CP_V,traded,-0.00723659424996068,2014,0
2014-11-07,2014-11-14,CP_V,traded,-0.015444451903529598,2014,0
2014-11-14,2014-11-21,CP_G,skip,0.0,2014,0
2014-11-21,2014-11-28,CP_MOM,traded,-0.00856462794117083,2014,0
2014-11-28,2014-12-05,CP_S,traded,0.037440889836360604,2014,1
2014-12-05,2014-12-12,CP_LV,traded,-0.019769298591767626,2014,0
2014-12-12,2014-12-19,CP_LV,traded,0.01577752375292514,2014,1
2014-12-19,2014-12-26,CP_S,traded,0.017533919897669607,2014,1
2014-12-26,2015-01-02,CP_MOM,traded,0.03642407837006693,2014,1
2015-01-02,2015-01-09,CP_G,skip,0.0,2015,0
2015-01-09,2015-01-16,CP_S,traded,-0.0017194036363980298,2015,0
2015-01-16,2015-01-23,CP_MOM,traded,0.01573570249692803,2015,1
2015-01-23,2015-01-30,CP_S,traded,0.022131672979466367,2015,1
2015-01-30,2015-02-06,CP_S,traded,0.028170544450960656,2015,1
2015-02-06,2015-02-13,CP_MOM,traded,0.01848510431090957,2015,1
2015-02-13,2015-02-17,CP_V,traded,0.006125083475075789,2015,1
2015-02-17,2015-02-27,CP_S,traded,0.03259840502603489,2015,1
2015-02-27,2015-03-06,CP_G,skip,0.0,2015,0
2015-03-06,2015-03-13,CP_MOM,traded,-0.011718630852494891,2015,0
2015-03-13,2015-03-20,CP_MOM,traded,0.04825362435497253,2015,1
2015-03-20,2015-03-27,CP_MOM,traded,0.04350474481644919,2015,1
2015-03-27,2015-04-03,CP_S,traded,0.025601463769390508,2015,1
2015-04-03,2015-04-10,CP_MOM,traded,0.06563967735059273,2015,1
2015-04-10,2015-04-17,CP_LV,traded,0.04013790498703137,2015,1
2015-04-17,2015-04-24,CP_V,traded,-0.005687446810469008,2015,0
2015-04-24,2015-04-30,CP_S,traded,-0.018240860357174538,2015,0
2015-04-30,2015-05-08,CP_MOM,traded,0.010320051955322464,2015,1
2015-05-08,2015-05-15,CP_MOM,traded,0.08317453716135453,2015,1
2015-05-15,2015-05-22,CP_S,traded,0.010509104040643926,2015,1
2015-05-22,2015-05-29,CP_G,skip,0.0,2015,0
2015-05-29,2015-06-05,CP_MOM,traded,0.013074148495734841,2015,1
2015-06-05,2015-06-12,CP_MOM,traded,0.03712933881779168,2015,1
2015-06-12,2015-06-19,CP_MOM,traded,0.038109239812983996,2015,1
2015-06-19,2015-06-26,CP_MOM,traded,0.018120932651563948,2015,1
2015-06-26,2015-07-03,CP_MOM,traded,0.008788508120678586,2015,1
2015-07-03,2015-07-10,CP_V,traded,-0.043493973894951035,2015,0
2015-07-10,2015-07-17,CP_MOM,traded,0.029883957020510964,2015,1
2015-07-17,2015-07-24,CP_LV,traded,-0.035736857769902985,2015,0
2015-07-24,2015-07-31,CP_LV,traded,-0.026821962722355694,2015,0
2015-07-31,2015-08-07,CP_MOM,traded,0.037535854719508675,2015,1
2015-08-07,2015-08-13,CP_LV,traded,0.0023005536559146406,2015,1
2015-08-13,2015-08-21,CP_LV,traded,-0.09096374988524344,2015,0
2015-08-21,2015-08-28,CP_G,skip,0.0,2015,0
2015-08-28,2015-09-04,CP_V,traded,-0.031320450385688814,2015,0
2015-09-04,2015-09-11,CP_V,traded,0.05474855397310781,2015,1
2015-09-11,2015-09-18,CP_G,skip,0.0,2015,0
2015-09-18,2015-09-25,CP_LV,traded,0.01864628933481932,2015,1
2015-09-25,2015-10-02,CP_S,traded,0.00022820265186417488,2015,1
2015-10-02,2015-10-08,CP_V,traded,0.024695518913182814,2015,1
2015-10-08,2015-10-16,CP_S,traded,0.00542091261086183,2015,1
2015-10-16,2015-10-23,CP_Q,skip,0.0,2015,0
2015-10-23,2015-10-30,CP_G,skip,0.0,2015,0
2015-10-30,2015-11-06,CP_MOM,traded,0.02031234575236906,2015,1
2015-11-06,2015-11-13,CP_MOM,traded,-0.027567124517657214,2015,0
2015-11-13,2015-11-20,CP_G,skip,0.0,2015,0
