code,name,s_score,confidence,news_count,analyst_count,summary
002787,진흥기업2우B,0.0,0.0,0,0,no overnight inputs
002790,아모레퍼시픽홀딩스,0.0,0.52,4,0,heuristic pos=0 neg=0
002795,아모레퍼시픽홀딩스우,0.0,0.0,0,0,no overnight inputs
002810,삼영무역,0.0,0.0,0,0,no overnight inputs
002820,SUN&L,0.0,0.0,0,0,no overnight inputs
002840,미원상사,0.0,0.0,0,0,no overnight inputs
002870,신풍,0.0,0.0,0,0,no overnight inputs
002880,디와이에이,0.0,0.0,0,0,no overnight inputs
002900,TYM,0.0,0.0,0,0,no overnight inputs
002920,유성기업,0.0,0.0,0,0,no overnight inputs
002960,한국쉘석유,0.0,0.0,0,0,no overnight inputs
002990,금호건설,0.0,0.0,0,0,no overnight inputs
002995,금호건설우,0.0,0.0,0,0,no overnight inputs
003000,부광약품,0.0,0.0,0,0,no overnight inputs
003010,혜인,0.0,0.0,0,0,no overnight inputs
003030,세아제강지주,40.0,0.44,3,0,heuristic pos=2 neg=0
003060,에이프로젠바이오로직스,0.0,0.0,0,0,no overnight inputs
003070,코오롱글로벌,0.0,0.0,0,0,no overnight inputs
003075,코오롱글로벌우,0.0,0.0,0,0,no overnight inputs
003080,SB성보,0.0,0.0,0,0,no overnight inputs
003090,대웅,0.0,0.0,0,0,no overnight inputs
003120,일성아이에스,0.0,0.0,0,0,no overnight inputs
003160,디아이,0.0,0.0,0,0,no overnight inputs
003200,일신방직,0.0,0.0,0,0,no overnight inputs
003220,대원제약,0.0,0.28,1,0,heuristic pos=0 neg=0
003230,삼양식품,0.0,0.6799999999999999,6,0,heuristic pos=0 neg=0
003240,태광산업,0.0,0.36,2,0,heuristic pos=0 neg=0
003280,흥아해운,0.0,0.0,0,0,no overnight inputs
003300,한일홀딩스,0.0,0.28,1,0,heuristic pos=0 neg=0
003350,한국화장품제조,0.0,0.0,0,0,no overnight inputs
003460,유화증권,0.0,0.0,0,0,no overnight inputs
