종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"433980","KODEX TDF2040액티브","15365","-75","-0.49","15361.22","15330","15440","15300","114147","1753832758","121383500000","121353650039","7900000","Samsung Korea Target Date 2040 Index (Price Return)","2168.21","-23.84","-1.09"
"434060","KODEX TDF2050액티브","16375","-155","-0.94","16522.36","16480","16530","16320","462975","7607421564","489612500000","494018626539","29900000","Samsung Korea Target Date 2050 Index (Price Return)","2519.65","-32.36","-1.27"
"0082V0","KODEX TDF2060액티브","11030","-15","-0.14","11096.32","11045","11095","11000","233594","2580729066","114160500000","114846860462","10350000","Samsung Korea Target Date 2060 Index","2609.48","-36.41","-1.38"
"329650","KODEX TRF3070","14360","60","0.42","14383.47","14330","14445","14305","234113","3367832639","257044000000","257464170528","17900000","FnGuide TRF 3070 지수","1853.81","-5.21","-0.28"
"329660","KODEX TRF5050","17710","-25","-0.14","17769.30","17665","17760","17665","107734","1909113034","100947000000","101285037635","5700000","FnGuide TRF 5050 지수","2300.91","-11.18","-0.48"
"329670","KODEX TRF7030","21580","-80","-0.37","21646.57","21940","21940","21500","49456","1069607148","84162000000","84421640493","3900000","FnGuide TRF 7030 지수","2824.78","-19.54","-0.69"
"395170","KODEX Top10동일가중","13655","-1830","-11.82","13600.20","14915","15205","13425","315949","4539559023","53254500000","53040763262","3900000","FnGuide TOP10 동일가중 지수","2136.84","-295.49","-12.15"
"315930","KODEX Top5PlusTR","55555","-7500","-11.89","55705.06","59715","62360","55275","303545","17852129450","1361097500000","1364774089055","24500000","FnGuide TOP 5 Plus Total Return 지수","5693.55","-745.96","-11.58"
"261220","KODEX WTI원유선물(H)","17920","880","5.16","17469.58","17750","17920","17410","3528738","62253194092","79744000000","77302890781","4450000","S&P GSCI Crude Oil Index ER","167.74","0.23","0.13"
"271050","KODEX WTI원유선물인버스(H)","3165","-180","-5.38","3243.22","3225","3250","3165","2024515","6501959590","24212250000","24891690862","7650000","S&P GSCI Crude Oil Index ER","167.74","0.23","0.13"
"468370","KODEX iShares미국인플레이션국채액티브","11780","90","0.77","11782.39","11785","11845","11755","52108","614789820","18494600000","18498347273","1570000","ICE U.S. Treasury Inflation Linked Bond Index(Total Return)","128.92","-0.27","-0.21"
"468630","KODEX iShares미국투자등급회사채액티브","12075","70","0.58","12099.55","12095","12160","12065","61141","740536601","36345750000","36419656151","3010000","Markit iBoxx USD Liquid Investment Grade Index(Total Return)","347.87","0.20","0.06"
"468380","KODEX iShares미국하이일드액티브","11805","85","0.73","11817.42","11815","11865","11765","331314","3916526497","119112450000","119237803182","10090000","ICE BofAML US HY Constrained Index(Total Return)","621.69","1.80","0.29"
"275290","KODEX 가치주","22445","-3055","-11.98","22493.98","24605","24860","22225","22834","540946805","20200500000","20244580234","900000","MSCI Korea IMI Enhanced Value Capped","13076.14","-1773.45","-11.94"
"117700","KODEX 건설","5580","-920","-14.15","5554.10","6080","6270","5435","1627264","9607273002","50220000000","49986856982","9000000","KRX 건설","1111.81","-189.50","-14.56"
"300950","KODEX 게임산업","5820","-645","-9.98","5796.61","6420","6420","5795","577392","3477995554","32010000000","31881329802","5500000","FnGuide 게임 산업 지수","709.20","-85.04","-10.71"
