종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"262260","에이프로","KOSDAQ","전기·전자","4470","-610","-12.01","64672639440"
"397030","에이프릴바이오","KOSDAQ","일반서비스","55300","-13000","-19.03","1290847217800"
"0009K0","에임드바이오","KOSDAQ","일반서비스","51300","-13000","-20.22","3317630559300"
"230240","에치에프알","KOSDAQ","전기·전자","14910","-2330","-13.52","198437190000"
"159910","에코글로우","KOSDAQ","화학","579","-18","-3.02","30302245815"
"230360","에코마케팅","KOSDAQ","일반서비스","15820","-10","-0.06","490400351560"
"038870","에코바이오","KOSDAQ","일반서비스","2620","-315","-10.73","36719166380"
"097780","에코볼트","KOSDAQ","운송장비·부품","785","-23","-2.85","53168315330"
"448280","에코아이","KOSDAQ","일반서비스","9720","-1520","-13.52","288014573880"
"101360","에코앤드림","KOSDAQ","화학","15820","-3280","-17.17","281376323480"
"128540","에코캡","KOSDAQ","운송장비·부품","1852","-228","-10.96","49430731920"
"086520","에코프로","KOSDAQ","금융","133800","-30200","-18.41","18166849137600"
"247540","에코프로비엠","KOSDAQ","전기·전자","165600","-33900","-16.99","16199917041600"
"383310","에코프로에이치엔","KOSDAQ","화학","29050","-5950","-17.00","609321774600"
"038110","에코플라스틱","KOSDAQ","운송장비·부품","2660","-470","-15.02","109510524200"
"073540","에프알텍","KOSDAQ","전기·전자","1838","-162","-8.10","20953200000"
"064850","에프앤가이드","KOSDAQ","IT 서비스","17040","-2120","-11.06","194432057280"
"036810","에프에스티","KOSDAQ","전기·전자","31100","-7600","-19.64","682842422800"
"173940","에프엔씨엔터","KOSDAQ","오락·문화","3305","-135","-3.92","50873230440"
"083500","에프엔에스테크","KOSDAQ","기계·장비","13200","-2280","-14.73","113199530400"
"054940","엑사이엔씨","KOSDAQ","건설","590","-78","-11.68","19572393320"
"950130","엑세스바이오","KOSDAQ","제약","2845","-200","-6.57","107335682040"
"373110","엑셀세라퓨틱스","KOSDAQ","제약","1301","-189","-12.68","22500006594"
"205100","엑셈","KOSDAQ","IT 서비스","1601","-230","-12.56","114411155108"
"356680","엑스게이트","KOSDAQ","IT 서비스","6120","-1190","-16.28","174686171040"
"070300","엑스큐어","KOSDAQ","IT 서비스","1481","-133","-8.24","34517782518"
"317770","엑스페릭스","KOSDAQ","전기·전자","3070","-485","-13.64","102154805670"
"373200","엑스플러스","KOSDAQ","기타제조","900","-75","-7.69","99004802400"
"069920","엑시온그룹","KOSDAQ","유통","488","-41","-7.75","22683513192"
"092870","엑시콘","KOSDAQ","기계·장비","24500","-4500","-15.52","319744526500"
"317870","엔바이오니아","KOSDAQ","기타제조","8260","-840","-9.23","70594246940"
"067570","엔브이에이치코리아","KOSDAQ","운송장비·부품","2130","-195","-8.39","89822100000"
"0004V0","엔비알모션","KOSDAQ","금속","20550","-3300","-13.84","213811817400"
"236810","엔비티","KOSDAQ","일반서비스","1730","-206","-10.64","29367486980"
"333620","엔시스","KOSDAQ","전기·전자","5540","-550","-9.03","58482145760"
"101400","엔시트론","KOSDAQ","전기·전자","463","-45","-8.86","32618687990"
"475230","엔알비","KOSDAQ","금속","22650","-3100","-12.04","238047853350"
"451700","엔에이치스팩29호","KOSDAQ","금융","2170","-90","-3.98","31139500000"
"466910","엔에이치스팩30호","KOSDAQ","금융","3370","-330","-8.92","30667000000"
"481890","엔에이치스팩31호","KOSDAQ","금융","2135","-10","-0.47","13546575000"
"0054V0","엔에이치스팩32호","KOSDAQ","금융","2030","-30","-1.46","12619495000"
"265740","엔에프씨","KOSDAQ","화학","7120","-1080","-13.17","127188832000"
"354200","엔젠바이오","KOSDAQ","일반서비스","1826","-174","-8.70","47687363152"
"455900","엔젤로보틱스","KOSDAQ","기계·장비","25600","-5200","-16.88","389582156800"
"419080","엔젯","KOSDAQ","기계·장비","5060","-780","-13.36","54066793220"
"183490","엔지켐생명과학","KOSDAQ","제약","1048","-6","-0.57","89148708976"
"182400","엔케이맥스","KOSDAQ","제약","3670","0","0.00","261959223450"
"348370","엔켐","KOSDAQ","화학","55200","-9900","-15.21","1209486758400"
"069410","엔텔스","KOSDAQ","IT 서비스","4000","-470","-10.51","40979296000"
"227950","엔투텍","KOSDAQ","기계·장비","427","-66","-13.39","73675027069"
"291230","엔피","KOSDAQ","일반서비스","585","-113","-16.19","25796028375"
"048830","엔피케이","KOSDAQ","화학","838","-69","-7.61","15690647474"
"096870","엘디티","KOSDAQ","전기·전자","2200","-20","-0.90","18365597800"
"290650","엘앤씨바이오","KOSDAQ","제약","75800","-10600","-12.27","1883028375400"
"156100","엘앤케이바이오","KOSDAQ","의료·정밀기기","9360","-1520","-13.97","209206792080"
"0041J0","엘에스스팩1호","KOSDAQ","금융","2015","-20","-0.98","8281650000"
"073110","엘엠에스","KOSDAQ","전기·전자","4840","-440","-8.33","43055454200"
"083310","엘오티베큠","KOSDAQ","기계·장비","11230","-1880","-14.34","200006670590"
"037950","엘컴텍","KOSDAQ","전기·전자","696","-102","-12.78","58775473224"
"489500","엘케이켐","KOSDAQ","화학","30000","-4400","-12.79","188341680000"
"170920","엘티씨","KOSDAQ","화학","19790","-3210","-13.96","209064053540"
"058630","엠게임","KOSDAQ","IT 서비스","4750","-490","-9.35","91212226500"
"226590","엠디바이스","KOSDAQ","전기·전자","22400","-4450","-16.57","238129561600"
"058970","엠로","KOSDAQ","IT 서비스","33100","-5950","-15.24","409145922400"
"169330","엠브레인","KOSDAQ","일반서비스","1848","-49","-2.58","33849664464"
"373170","엠아이큐브솔루션","KOSDAQ","IT 서비스","2230","-670","-23.10","33703751700"
"179290","엠아이텍","KOSDAQ","의료·정밀기기","6390","-660","-9.36","206816682420"
"009780","엠에스씨","KOSDAQ","음식료·담배","6870","-540","-7.29","120912000000"
"123040","엠에스오토텍","KOSDAQ","운송장비·부품","2300","-375","-14.02","144045087700"
"432980","엠에프씨","KOSDAQ","제약","3300","-305","-8.46","28352748600"
"413390","엠오티","KOSDAQ","기계·장비","7320","-1180","-13.88","84766917600"
"032790","엠젠솔루션","KOSDAQ","유통","654","-13","-1.95","33589578648"
"033160","엠케이전자","KOSDAQ","전기·전자","8210","-1440","-14.92","186558194480"
"347890","엠투아이","KOSDAQ","의료·정밀기기","5290","-620","-10.49","89470849160"
"033310","엠투엔","KOSDAQ","전기·전자","1657","-160","-8.81","66847076767"
"259630","엠플러스","KOSDAQ","기계·장비","10280","-1970","-16.08","124118499520"
"105550","엣지파운드리","KOSDAQ","전기·전자","1149","-201","-14.89","89974801599"
"060850","영림원소프트랩","KOSDAQ","IT 서비스","5810","-340","-5.53","47241110000"
"143540","영우디에스피","KOSDAQ","기계·장비","1117","-25","-2.19","49818082715"
"265560","영화테크","KOSDAQ","운송장비·부품","7660","-790","-9.35","81886778800"
"036000","예림당","KOSDAQ","오락·문화","2750","-360","-11.58","63344261750"
"250930","예선테크","KOSDAQ","화학","316","-63","-16.62","10428139040"
"053280","예스24","KOSDAQ","유통","3345","-265","-7.34","83625000000"
